soc_code,title,major_group,national_median_salary_usd,total_employment,income_pct,profession_score
49-9071,"Maintenance and Repair Workers, General",49-0000,51751,4561320,32.8,32.8
49-9081,Wind Turbine Service Technicians,49-0000,66428,22390,53.1,53.1
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-0000,48031,58040,25.2,25.2
49-9092,Commercial Divers,49-0000,82135,1930,70.0,70.0
49-9094,Locksmiths and Safe Repairers,49-0000,51884,45700,33.0,33.0
49-9095,Manufactured Building and Mobile Home Installers,49-0000,39231,3950,9.3,9.3
49-9096,Riggers,49-0000,64154,37620,50.9,50.9
49-9097,Signal and Track Switch Repairers,49-0000,92944,14050,78.0,78.0
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49-0000,39675,272800,10.4,10.4
49-9099,"Installation, Maintenance, and Repair Workers, All Other",49-0000,51233,427020,31.6,31.6
51-1011,First-Line Supervisors of Production and Operating Workers,51-0000,73993,1968620,62.4,62.4
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-0000,70905,88400,58.4,58.4
51-2021,"Coil Winders, Tapers, and Finishers",51-0000,48793,25710,26.8,26.8
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",51-0000,45640,688890,21.2,21.2
51-2031,Engine and Other Machine Assemblers,51-0000,55646,59960,40.3,40.3
51-2041,Structural Metal Fabricators and Fitters,51-0000,52188,116550,33.7,33.7
51-2051,Fiberglass Laminators and Fabricators,51-0000,48628,35920,26.1,26.1
51-2090,Miscellaneous Assemblers and Fabricators,51-0000,44065,4201930,18.2,18.2
51-3011,Bakers,51-0000,36997,683960,6.5,6.5
51-3021,Butchers and Meat Cutters,51-0000,40606,396870,11.3,11.3
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51-0000,38827,389990,8.8,8.8
51-3023,Slaughterers and Meat Packers,51-0000,41813,197190,13.1,13.1
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-0000,44631,45870,19.6,19.6
51-3092,Food Batchmakers,51-0000,42672,476310,15.3,15.3
51-3093,Food Cooking Machine Operators and Tenders,51-0000,41749,75590,13.0,13.0
51-3099,"Food Processing Workers, All Other",51-0000,39566,127740,9.9,9.9
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,48365,154360,25.7,25.7
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51970,16850,33.2,33.2
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,52158,57970,33.4,33.4
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,46391,474900,22.6,22.6
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,50080,6940,29.4,29.4
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,46841,187170,23.4,23.4
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51136,43870,31.5,31.5
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,56196,22960,40.8,40.8
51-4041,Machinists,51-0000,57307,882080,42.4,42.4
51-4051,Metal-Refining Furnace Operators and Tenders,51-0000,55729,41360,40.5,40.5
51-4052,"Pourers and Casters, Metal",51-0000,53991,9830,36.5,36.5
51-4061,"Model Makers, Metal and Plastic",51-0000,69715,3770,57.0,57.0
51-4062,"Patternmakers, Metal and Plastic",51-0000,63435,2260,49.9,49.9
51-4071,Foundry Mold and Coremakers,51-0000,49068,31400,27.4,27.4
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,43797,418700,17.7,17.7
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,47201,306240,24.0,24.0
51-4111,Tool and Die Makers,51-0000,67162,148710,54.0,54.0
51-4121,"Welders, Cutters, Solderers, and Brazers",51-0000,54918,1205010,38.9,38.9
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-0000,48427,73870,25.8,25.8
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-0000,49033,30760,27.3,27.3
51-4192,"Layout Workers, Metal and Plastic",51-0000,64558,8830,51.3,51.3
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,42913,81980,16.0,16.0
51-4194,"Tool Grinders, Filers, and Sharpeners",51-0000,53826,7680,36.2,36.2
51-4199,"Metal Workers and Plastic Workers, All Other",51-0000,46982,31810,23.5,23.5
51-5111,Prepress Technicians and Workers,51-0000,48666,57800,26.3,26.3
51-5112,Printing Press Operators,51-0000,45450,389910,20.9,20.9
51-5113,Print Binding and Finishing Workers,51-0000,42769,88890,15.4,15.4
51-6011,Laundry and Dry-Cleaning Workers,51-0000,33910,553380,2.0,2.0
51-6021,"Pressers, Textile, Garment, and Related Materials",51-0000,33491,71250,1.5,1.5
51-6031,Sewing Machine Operators,51-0000,35659,259690,4.9,4.9
51-6041,Shoe and Leather Workers and Repairers,51-0000,35022,11020,3.7,3.7
51-6042,Shoe Machine Operators and Tenders,51-0000,35353,4740,4.0,4.0
51-6051,"Sewers, Hand",51-0000,34232,860,2.4,2.4
51-6052,"Tailors, Dressmakers, and Custom Sewers",51-0000,46094,20560,21.9,21.9
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51-0000,39094,11420,9.1,9.1
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51-0000,38690,18410,8.7,8.7
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-0000,39436,31180,9.7,9.7
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-0000,39794,53600,10.6,10.6
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-0000,47784,26380,24.7,24.7
51-6092,Fabric and Apparel Patternmakers,51-0000,79364,5280,67.2,67.2
51-6093,Upholsterers,51-0000,45243,47050,20.6,20.6
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",51-0000,38410,25180,8.4,8.4
51-7011,Cabinetmakers and Bench Carpenters,51-0000,46382,206300,22.5,22.5
51-7021,Furniture Finishers,51-0000,43291,36160,16.8,16.8
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51-0000,42067,108330,13.8,13.8
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-0000,42595,165800,15.1,15.1
51-7099,"Woodworkers, All Other",51-0000,42801,8280,15.5,15.5
51-8011,Nuclear Power Reactor Operators,51-0000,125374,1550,91.2,91.2
51-8012,Power Distributors and Dispatchers,51-0000,110193,19400,86.2,86.2
51-8013,Power Plant Operators,51-0000,102603,87090,83.6,83.6
51-8021,Stationary Engineers and Boiler Operators,51-0000,84408,62630,73.8,73.8
51-8031,Water and Wastewater Treatment Plant and System Operators,51-0000,60150,363030,46.1,46.1
51-8091,Chemical Plant and System Operators,51-0000,82759,34480,71.1,71.1
51-8092,Gas Plant Operators,51-0000,89035,35500,76.1,76.1
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-0000,93860,72410,78.7,78.7
51-8099,"Plant and System Operators, All Other",51-0000,61786,26080,47.9,47.9
51-9011,Chemical Equipment Operators and Tenders,51-0000,58489,405700,44.3,44.3
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-0000,55517,145370,40.0,40.0
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-0000,51273,50930,31.7,31.7
51-9022,"Grinding and Polishing Workers, Hand",51-0000,43444,17800,17.0,17.0
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51-0000,50176,249210,29.7,29.7
51-9031,"Cutters and Trimmers, Hand",51-0000,38058,9400,7.5,7.5
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-0000,47154,105570,23.9,23.9
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-0000,46037,144450,21.7,21.7
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-0000,49790,28860,28.6,28.6
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-0000,50404,1776350,30.2,30.2
51-9071,Jewelers and Precious Stone and Metal Workers,51-0000,55202,54410,39.7,39.7
51-9081,Dental Laboratory Technicians,51-0000,49973,94850,29.3,29.3
51-9082,Medical Appliance Technicians,51-0000,49128,23040,27.5,27.5
51-9083,Ophthalmic Laboratory Technicians,51-0000,41908,41830,13.2,13.2
51-9111,Packaging and Filling Machine Operators and Tenders,51-0000,42981,1074720,16.3,16.3
51-9123,"Painting, Coating, and Decorating Workers",51-0000,43699,7360,17.4,17.4
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-0000,50299,443890,30.0,30.0
51-9141,Semiconductor Processing Technicians,51-0000,57138,50640,42.1,42.1
51-9151,Photographic Process Workers and Processing Machine Operators,51-0000,41930,8520,13.5,13.5
