soc_code,title,major_group,national_median_salary_usd,total_employment,income_pct,profession_score
17-1021,Cartographers and Photogrammetrists,17-0000,83677,34460,72.5,72.5
17-1022,Surveyors,17-0000,74764,159090,63.3,63.3
17-2011,Aerospace Engineers,17-0000,140006,179170,93.5,93.5
17-2021,Agricultural Engineers,17-0000,119885,590,89.6,89.6
17-2031,Bioengineers and Biomedical Engineers,17-0000,115830,45400,88.4,88.4
17-2041,Chemical Engineers,17-0000,125398,43080,91.3,91.3
17-2051,Civil Engineers,17-0000,101222,1253620,83.4,83.4
17-2061,Computer Hardware Engineers,17-0000,166808,182020,96.3,96.3
17-2071,Electrical Engineers,17-0000,120561,603540,89.7,89.7
17-2072,"Electronics Engineers, Except Computer",17-0000,138021,250230,92.9,92.9
17-2081,Environmental Engineers,17-0000,110222,103220,86.3,86.3
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-0000,121481,33130,90.0,90.0
17-2112,Industrial Engineers,17-0000,106193,1068840,85.1,85.1
17-2121,Marine Engineers and Naval Architects,17-0000,132453,5620,92.0,92.0
17-2131,Materials Engineers,17-0000,117834,49050,88.5,88.5
17-2141,Mechanical Engineers,17-0000,109447,901760,85.9,85.9
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17-0000,112374,11130,87.0,87.0
17-2161,Nuclear Engineers,17-0000,145316,27140,94.4,94.4
17-2171,Petroleum Engineers,17-0000,157587,43660,96.0,96.0
17-2199,"Engineers, All Other",17-0000,123917,421320,90.5,90.5
17-3011,Architectural and Civil Drafters,17-0000,67578,319030,54.5,54.5
17-3012,Electrical and Electronics Drafters,17-0000,79703,44600,67.7,67.7
17-3013,Mechanical Drafters,17-0000,74081,97950,62.5,62.5
17-3019,"Drafters, All Other",17-0000,64210,25000,51.0,51.0
17-3021,Aerospace Engineering and Operations Technologists and Technicians,17-0000,94084,24410,78.9,78.9
17-3022,Civil Engineering Technologists and Technicians,17-0000,66242,228620,52.9,52.9
17-3023,Electrical and Electronic Engineering Technologists and Technicians,17-0000,79211,250540,67.1,67.1
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,17-0000,77020,23620,65.1,65.1
17-3025,Environmental Engineering Technologists and Technicians,17-0000,61289,25330,46.9,46.9
17-3026,Industrial Engineering Technologists and Technicians,17-0000,68212,196920,55.3,55.3
17-3027,Mechanical Engineering Technologists and Technicians,17-0000,74567,82620,63.0,63.0
17-3028,Calibration Technologists and Technicians,17-0000,70347,32010,58.0,58.0
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",17-0000,80663,147200,68.5,68.5
17-3031,Surveying and Mapping Technicians,17-0000,55430,170510,39.9,39.9
19-1011,Animal Scientists,19-0000,77751,2200,65.7,65.7
19-1012,Food Scientists and Technologists,19-0000,90357,25890,76.4,76.4
19-1013,Soil and Plant Scientists,19-0000,82577,29160,70.9,70.9
19-1021,Biochemists and Biophysicists,19-0000,127781,104660,91.6,91.6
19-1022,Microbiologists,19-0000,96681,43370,80.4,80.4
19-1023,Zoologists and Wildlife Biologists,19-0000,83841,42580,72.9,72.9
19-1029,"Biological Scientists, All Other",19-0000,103482,159580,84.1,84.1
19-1031,Conservation Scientists,19-0000,73349,67310,62.1,62.1
19-1032,Foresters,19-0000,77157,20090,65.2,65.2
19-1041,Epidemiologists,19-0000,94056,25980,78.8,78.8
19-1042,"Medical Scientists, Except Epidemiologists",19-0000,110167,486540,86.0,86.0
19-1099,"Life Scientists, All Other",19-0000,100629,14150,83.2,83.2
19-2011,Astronomers,19-0000,137700,1130,92.8,92.8
19-2012,Physicists,19-0000,169439,45500,96.6,96.6
19-2021,Atmospheric and Space Scientists,19-0000,106898,18770,85.3,85.3
19-2031,Chemists,19-0000,93482,239190,78.5,78.5
19-2032,Materials Scientists,19-0000,138581,12340,93.3,93.3
19-2041,"Environmental Scientists and Specialists, Including Health",19-0000,84542,253160,73.9,73.9
19-2042,"Geoscientists, Except Hydrologists and Geographers",19-0000,112965,61940,87.6,87.6
19-2043,Hydrologists,19-0000,96668,10760,80.3,80.3
19-2099,"Physical Scientists, All Other",19-0000,118951,54460,89.0,89.0
19-3011,Economists,19-0000,119555,30070,89.4,89.4
19-3022,Survey Researchers,19-0000,83004,13150,71.6,71.6
19-3033,Clinical and Counseling Psychologists,19-0000,103133,240140,84.0,84.0
19-3034,School Psychologists,19-0000,95595,180720,79.9,79.9
19-3039,"Psychologists, All Other",19-0000,118144,42500,88.6,88.6
19-3041,Sociologists,19-0000,112918,3420,87.5,87.5
19-3051,Urban and Regional Planners,19-0000,90589,127770,77.0,77.0
19-3091,Anthropologists and Archeologists,19-0000,72714,18590,61.4,61.4
19-3092,Geographers,19-0000,106911,1940,85.4,85.4
19-3093,Historians,19-0000,75994,5000,64.5,64.5
19-3094,Political Scientists,19-0000,152417,7050,95.5,95.5
19-3099,"Social Scientists and Related Workers, All Other",19-0000,103026,92740,83.7,83.7
19-4012,Agricultural Technicians,19-0000,50118,28340,29.6,29.6
19-4013,Food Science Technicians,19-0000,52843,32110,34.6,34.6
19-4021,Biological Technicians,19-0000,60199,185950,46.3,46.3
19-4031,Chemical Technicians,19-0000,59743,159520,45.7,45.7
19-4042,"Environmental Science and Protection Technicians, Including Health",19-0000,56434,88590,41.2,41.2
19-4043,"Geological Technicians, Except Hydrologic Technicians",19-0000,56525,10760,41.5,41.5
19-4044,Hydrologic Technicians,19-0000,70129,3580,57.6,57.6
19-4051,Nuclear Technicians,19-0000,99844,3450,82.5,82.5
19-4061,Social Science Research Assistants,19-0000,60658,69160,46.6,46.6
19-4071,Forest and Conservation Technicians,19-0000,54842,83440,38.6,38.6
19-4092,Forensic Science Technicians,19-0000,75770,52170,64.3,64.3
19-4099,"Life, Physical, and Social Science Technicians, All Other",19-0000,62722,183220,48.8,48.8
19-5011,Occupational Health and Safety Specialists,19-0000,90706,357900,77.1,77.1
19-5012,Occupational Health and Safety Technicians,19-0000,67335,56140,54.2,54.2
21-1012,"Educational, Guidance, and Career Counselors and Advisors",21-0000,68620,1039900,55.4,55.4
21-1013,Marriage and Family Therapists,21-0000,69361,211820,56.4,56.4
21-1015,Rehabilitation Counselors,21-0000,48471,274980,25.9,25.9
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",21-0000,58994,1681170,44.8,44.8
21-1019,"Counselors, All Other",21-0000,54556,67690,37.8,37.8
21-1021,"Child, Family, and School Social Workers",21-0000,61393,1171160,47.1,47.1
21-1022,Healthcare Social Workers,21-0000,69965,551610,57.5,57.5
21-1023,Mental Health and Substance Abuse Social Workers,21-0000,63031,423140,49.4,49.4
21-1029,"Social Workers, All Other",21-0000,75418,172210,63.8,63.8
21-1091,Health Education Specialists,21-0000,70202,165530,57.8,57.8
21-1092,Probation Officers and Correctional Treatment Specialists,21-0000,72513,261160,61.1,61.1
21-1093,Social and Human Service Assistants,21-0000,46092,1368940,21.8,21.8
21-1094,Community Health Workers,21-0000,53831,162490,36.4,36.4
21-1099,"Community and Social Service Specialists, All Other",21-0000,57597,298300,43.1,43.1
21-2011,Clergy,21-0000,61552,160220,47.4,47.4
21-2021,"Directors, Religious Activities and Education",21-0000,53393,60280,35.6,35.6
21-2099,"Religious Workers, All Other",21-0000,46297,40790,22.4,22.4
23-1011,Lawyers,23-0000,163335,2208190,96.2,96.2
23-1012,Judicial Law Clerks,23-0000,71651,38470,60.3,60.3
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-0000,120939,47280,89.8,89.8
23-1022,"Arbitrators, Mediators, and Conciliators",23-0000,92965,13450,78.1,78.1
23-1023,"Judges, Magistrate Judges, and Magistrates",23-0000,145851,68200,94.7,94.7
23-2011,Paralegals and Legal Assistants,23-0000,65354,1151200,52.0,52.0
23-2093,"Title Examiners, Abstractors, and Searchers",23-0000,60011,128030,45.9,45.9
23-2099,"Legal Support Workers, All Other",23-0000,88463,116140,75.8,75.8
25-1011,"Business Teachers, Postsecondary",25-0000,98014,247350,81.8,81.8
25-1021,"Computer Science Teachers, Postsecondary",25-0000,97453,105490,81.3,81.3
25-1022,"Mathematical Science Teachers, Postsecondary",25-0000,83085,140080,71.8,71.8
25-1031,"Architecture Teachers, Postsecondary",25-0000,100192,19640,82.7,82.7
25-1032,"Engineering Teachers, Postsecondary",25-0000,114151,113730,87.9,87.9
25-1041,"Agricultural Sciences Teachers, Postsecondary",25-0000,97462,24020,81.4,81.4
25-1042,"Biological Science Teachers, Postsecondary",25-0000,90449,142690,76.5,76.5
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",25-0000,100301,3360,82.9,82.9
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-0000,104767,28070,84.3,84.3
25-1052,"Chemistry Teachers, Postsecondary",25-0000,92764,59890,77.7,77.7
25-1053,"Environmental Science Teachers, Postsecondary",25-0000,95397,17480,79.8,79.8
25-1054,"Physics Teachers, Postsecondary",25-0000,101643,38310,83.5,83.5
25-1061,"Anthropology and Archeology Teachers, Postsecondary",25-0000,98626,13960,82.0,82.0
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-0000,88570,30990,75.9,75.9
25-1063,"Economics Teachers, Postsecondary",25-0000,123976,33260,90.6,90.6
25-1064,"Geography Teachers, Postsecondary",25-0000,98248,8330,81.9,81.9
25-1065,"Political Science Teachers, Postsecondary",25-0000,96973,49020,80.7,80.7
25-1066,"Psychology Teachers, Postsecondary",25-0000,84565,123250,74.1,74.1
25-1067,"Sociology Teachers, Postsecondary",25-0000,88158,34920,75.4,75.4
25-1069,"Social Sciences Teachers, Postsecondary, All Other",25-0000,81630,47950,69.3,69.3
25-1071,"Health Specialties Teachers, Postsecondary",25-0000,124152,593810,90.8,90.8
25-1072,"Nursing Instructors and Teachers, Postsecondary",25-0000,82214,225670,70.1,70.1
25-1081,"Education Teachers, Postsecondary",25-0000,73359,181890,62.2,62.2
25-1082,"Library Science Teachers, Postsecondary",25-0000,83716,9580,72.7,72.7
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-0000,83163,37450,72.0,72.0
25-1112,"Law Teachers, Postsecondary",25-0000,124562,53550,90.9,90.9
25-1113,"Social Work Teachers, Postsecondary",25-0000,78520,35430,66.3,66.3
25-1121,"Art, Drama, and Music Teachers, Postsecondary",25-0000,82106,272680,69.9,69.9
25-1122,"Communications Teachers, Postsecondary",25-0000,83065,86950,71.7,71.7
25-1123,"English Language and Literature Teachers, Postsecondary",25-0000,81010,171790,68.9,68.9
25-1124,"Foreign Language and Literature Teachers, Postsecondary",25-0000,82536,58250,70.7,70.7
25-1125,"History Teachers, Postsecondary",25-0000,88769,55410,76.0,76.0
25-1126,"Philosophy and Religion Teachers, Postsecondary",25-0000,83987,60280,73.4,73.4
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",25-0000,78052,6390,66.1,66.1
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",25-0000,81762,37010,69.5,69.5
25-1194,"Career/Technical Education Teachers, Postsecondary",25-0000,66000,335180,52.8,52.8
25-1199,"Postsecondary Teachers, All Other",25-0000,78951,447890,66.7,66.7
25-2011,"Preschool Teachers, Except Special Education",25-0000,41315,1420540,12.0,12.0
25-2012,"Kindergarten Teachers, Except Special Education",25-0000,66969,334470,53.7,53.7
25-2021,"Elementary School Teachers, Except Special Education",25-0000,72346,4026170,61.0,61.0
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",25-0000,69424,1732770,56.7,56.7
25-2023,"Career/Technical Education Teachers, Middle School",25-0000,69863,48270,57.2,57.2
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",25-0000,74237,3142980,62.7,62.7
25-2032,"Career/Technical Education Teachers, Secondary School",25-0000,71099,330430,59.0,59.0
25-2051,"Special Education Teachers, Preschool",25-0000,77398,73500,65.4,65.4
25-2052,"Special Education Teachers, Kindergarten and Elementary School",25-0000,71342,779010,59.5,59.5
25-2057,"Special Education Teachers, Middle School",25-0000,72710,287770,61.3,61.3
25-2058,"Special Education Teachers, Secondary School",25-0000,75320,488670,63.5,63.5
25-2059,"Special Education Teachers, All Other",25-0000,78707,95480,66.5,66.5
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-0000,64604,100650,51.4,51.4
25-3021,Self-Enrichment Teachers,25-0000,47735,968600,24.6,24.6
25-3031,"Substitute Teachers, Short-Term",25-0000,43271,1567170,16.6,16.6
25-3041,Tutors,25-0000,43373,501570,16.9,16.9
25-3099,"Teachers and Instructors, All Other",25-0000,71395,320670,59.7,59.7
25-4011,Archivists,25-0000,69584,12990,56.9,56.9
25-4012,Curators,25-0000,65877,29660,52.6,52.6
25-4013,Museum Technicians and Conservators,25-0000,54293,29120,37.2,37.2
25-4022,Librarians and Media Collections Specialists,25-0000,71003,392120,58.8,58.8
25-4031,Library Technicians,25-0000,43817,201180,17.9,17.9
25-9021,Farm and Home Management Educators,25-0000,57051,16240,41.9,41.9
25-9031,Instructional Coordinators,25-0000,77946,654520,66.0,66.0
25-9044,"Teaching Assistants, Postsecondary",25-0000,45285,445470,20.8,20.8
25-9045,"Teaching Assistants, Except Postsecondary",25-0000,36753,4274470,6.1,6.1
25-9099,"Educational Instruction and Library Workers, All Other",25-0000,53574,332980,35.7,35.7
27-1011,Art Directors,27-0000,123498,124230,90.3,90.3
27-1012,Craft Artists,27-0000,54639,4100,38.1,38.1
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-0000,83688,13030,72.6,72.6
27-1014,Special Effects Artists and Animators,27-0000,121578,35750,90.1,90.1
27-1019,"Artists and Related Workers, All Other",27-0000,91688,9030,77.5,77.5
27-1021,Commercial and Industrial Designers,27-0000,91290,59590,77.4,77.4
27-1022,Fashion Designers,27-0000,83963,47410,73.3,73.3
27-1023,Floral Designers,27-0000,38209,110250,8.1,8.1
27-1024,Graphic Designers,27-0000,65370,515900,52.1,52.1
27-1025,Interior Designers,27-0000,68700,183500,55.6,55.6
27-1026,Merchandise Displayers and Window Trimmers,27-0000,40274,437470,11.0,11.0
27-1027,Set and Exhibit Designers,27-0000,78950,17610,66.6,66.6
27-1029,"Designers, All Other",27-0000,74380,12320,62.8,62.8
27-2012,Producers and Directors,27-0000,95343,407700,79.7,79.7
27-2021,Athletes and Sports Competitors,27-0000,88300,26100,75.6,75.6
27-2022,Coaches and Scouts,27-0000,48015,748970,25.0,25.0
27-2023,"Umpires, Referees, and Other Sports Officials",27-0000,42157,28640,14.2,14.2
27-2032,Choreographers,27-0000,74683,5670,63.2,63.2
27-2041,Music Directors and Composers,27-0000,79528,27880,67.4,67.4
27-3011,Broadcast Announcers and Radio Disc Jockeys,27-0000,50196,68740,29.9,29.9
27-3023,"News Analysts, Reporters, and Journalists",27-0000,65573,131840,52.4,52.4
27-3031,Public Relations Specialists,27-0000,77907,766330,65.9,65.9
27-3041,Editors,27-0000,81128,251420,69.0,69.0
27-3042,Technical Writers,27-0000,97107,101320,81.0,81.0
27-3043,Writers and Authors,27-0000,79780,88640,67.8,67.8
27-3091,Interpreters and Translators,27-0000,61751,125180,47.7,47.7
27-3092,Court Reporters and Simultaneous Captioners,27-0000,81759,32760,69.4,69.4
27-3099,"Media and Communication Workers, All Other",27-0000,85122,41670,74.3,74.3
27-4011,Audio and Video Technicians,27-0000,61840,154600,48.1,48.1
27-4012,Broadcast Technicians,27-0000,60081,60390,46.0,46.0
27-4014,Sound Engineering Technicians,27-0000,80441,23020,68.2,68.2
27-4015,Lighting Technicians,27-0000,84056,11900,73.6,73.6
27-4021,Photographers,27-0000,45602,150960,21.1,21.1
27-4031,"Camera Operators, Television, Video, and Film",27-0000,82969,45860,71.5,71.5
27-4032,Film and Video Editors,27-0000,82468,58650,70.5,70.5
27-4099,"Media and Communication Equipment Workers, All Other",27-0000,84227,26100,73.7,73.7
29-1011,Chiropractors,29-0000,80443,150360,68.3,68.3
29-1021,"Dentists, General",29-0000,175639,363530,96.8,96.8
29-1022,Oral and Maxillofacial Surgeons,29-0000,246388,2110,97.8,97.8
29-1023,Orthodontists,29-0000,275596,3790,98.8,98.8
29-1029,"Dentists, All Other Specialists",29-0000,231213,6530,97.6,97.6
29-1031,Dietitians and Nutritionists,29-0000,76680,201640,64.9,64.9
29-1041,Optometrists,29-0000,138351,148700,93.1,93.1
29-1051,Pharmacists,29-0000,143954,1041210,94.1,94.1
29-1071,Physician Assistants,29-0000,140569,468190,93.6,93.6
29-1081,Podiatrists,29-0000,151646,28930,95.3,95.3
29-1122,Occupational Therapists,29-0000,100359,521560,83.0,83.0
29-1123,Physical Therapists,29-0000,103059,884060,83.8,83.8
29-1124,Radiation Therapists,29-0000,111025,38750,86.7,86.7
29-1125,Recreational Therapists,29-0000,66249,36300,53.0,53.0
29-1126,Respiratory Therapists,29-0000,85961,395290,74.9,74.9
29-1127,Speech-Language Pathologists,29-0000,96943,582760,80.5,80.5
29-1128,Exercise Physiologists,29-0000,59526,17510,45.5,45.5
29-1129,"Therapists, All Other",29-0000,85745,56400,74.8,74.8
29-1131,Veterinarians,29-0000,133138,310580,92.3,92.3
29-1141,Registered Nurses,29-0000,98919,10341960,82.3,82.3
29-1151,Nurse Anesthetists,29-0000,240533,121680,97.7,97.7
29-1161,Nurse Midwives,29-0000,141295,17820,93.8,93.8
29-1171,Nurse Practitioners,29-0000,136325,945140,92.7,92.7
29-1181,Audiologists,29-0000,96277,29900,80.2,80.2
29-1211,Anesthesiologists,29-0000,344210,59700,99.3,99.3
29-1212,Cardiologists,29-0000,447996,25710,99.9,99.9
29-1213,Dermatologists,29-0000,373960,15000,99.8,99.8
29-1214,Emergency Medicine Physicians,29-0000,318727,46760,99.1,99.1
29-1215,Family Medicine Physicians,29-0000,250352,309920,97.9,97.9
29-1216,General Internal Medicine Physicians,29-0000,260134,153000,98.3,98.3
29-1217,Neurologists,29-0000,254579,14320,98.0,98.0
29-1218,Obstetricians and Gynecologists,29-0000,274475,40840,98.7,98.7
29-1221,"Pediatricians, General",29-0000,203834,102190,97.3,97.3
29-1222,"Physicians, Pathologists",29-0000,267131,15350,98.4,98.4
29-1223,Psychiatrists,29-0000,272241,66450,98.5,98.5
29-1224,Radiologists,29-0000,352749,27540,99.4,99.4
29-1229,"Physicians, All Other",29-0000,256096,915010,98.2,98.2
29-1241,"Ophthalmologists, Except Pediatric",29-0000,311621,16400,99.0,99.0
29-1242,"Orthopedic Surgeons, Except Pediatric",29-0000,360379,20780,99.5,99.5
29-1243,Pediatric Surgeons,29-0000,485800,200,100.0,100.0
29-1249,"Surgeons, All Other",29-0000,362507,44200,99.6,99.6
29-1291,Acupuncturists,29-0000,74876,20770,63.4,63.4
29-1292,Dental Hygienists,29-0000,99665,655790,82.4,82.4
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",29-0000,124756,69320,91.1,91.1
29-2010,Clinical Laboratory Technologists and Technicians,29-0000,64410,983580,51.2,51.2
29-2031,Cardiovascular Technologists and Technicians,29-0000,71559,176070,60.1,60.1
29-2032,Diagnostic Medical Sonographers,29-0000,97075,251720,80.9,80.9
29-2033,Nuclear Medicine Technologists,29-0000,105448,46210,84.5,84.5
29-2034,Radiologic Technologists and Technicians,29-0000,83917,673660,73.1,73.1
29-2035,Magnetic Resonance Imaging Technologists,29-0000,96985,119590,80.8,80.8
29-2036,Medical Dosimetrists,29-0000,147543,6500,95.0,95.0
29-2042,Emergency Medical Technicians,29-0000,44322,594400,19.1,19.1
29-2043,Paramedics,29-0000,61722,337370,47.6,47.6
29-2051,Dietetic Technicians,29-0000,39082,83250,8.9,8.9
29-2052,Pharmacy Technicians,29-0000,43889,1608730,18.0,18.0
29-2053,Psychiatric Technicians,29-0000,44905,491840,19.8,19.8
29-2055,Surgical Technologists,29-0000,67408,336370,54.3,54.3
29-2056,Veterinary Technologists and Technicians,29-0000,47297,480220,24.1,24.1
29-2057,Ophthalmic Medical Technicians,29-0000,44930,217290,20.0,20.0
29-2061,Licensed Practical and Licensed Vocational Nurses,29-0000,66603,1975410,53.4,53.4
29-2072,Medical Records Specialists,29-0000,53252,545500,35.5,35.5
29-2081,"Opticians, Dispensing",29-0000,48712,211080,26.6,26.6
29-2091,Orthotists and Prosthetists,29-0000,82817,11760,71.2,71.2
29-2092,Hearing Aid Specialists,29-0000,67104,15210,53.9,53.9
29-2099,"Health Technologists and Technicians, All Other",29-0000,52483,527430,34.0,34.0
29-9021,Health Information Technologists and Medical Registrars,29-0000,71627,92060,60.2,60.2
29-9091,Athletic Trainers,29-0000,63978,83400,50.6,50.6
29-9092,Genetic Counselors,29-0000,106026,6750,84.8,84.8
29-9093,Surgical Assistants,29-0000,71236,46990,59.2,59.2
29-9099,"Healthcare Practitioners and Technical Workers, All Other",29-0000,72190,83280,60.8,60.8
31-1120,Home Health and Personal Care Aides,31-0000,34979,15415890,3.4,3.4
31-1131,Nursing Assistants,31-0000,42143,4360220,14.1,14.1
31-1132,Orderlies,31-0000,39637,143690,10.3,10.3
31-1133,Psychiatric Aides,31-0000,44166,88950,18.5,18.5
31-2011,Occupational Therapy Assistants,31-0000,70744,164260,58.3,58.3
31-2012,Occupational Therapy Aides,31-0000,42275,8220,14.4,14.4
31-2021,Physical Therapist Assistants,31-0000,68135,380140,55.2,55.2
31-2022,Physical Therapist Aides,31-0000,33654,169560,1.7,1.7
31-9011,Massage Therapists,31-0000,59982,307850,45.8,45.8
31-9091,Dental Assistants,31-0000,48780,1133970,26.7,26.7
31-9092,Medical Assistants,31-0000,44977,2474240,20.1,20.1
31-9093,Medical Equipment Preparers,31-0000,49173,210940,27.7,27.7
31-9094,Medical Transcriptionists,31-0000,41924,97710,13.3,13.3
31-9095,Pharmacy Aides,31-0000,37999,136690,7.2,7.2
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,31-0000,39383,467480,9.5,9.5
31-9097,Phlebotomists,31-0000,44219,437840,18.8,18.8
31-9099,"Healthcare Support Workers, All Other",31-0000,48871,305160,27.1,27.1
33-1011,First-Line Supervisors of Correctional Officers,33-0000,80970,156550,68.8,68.8
33-1012,First-Line Supervisors of Police and Detectives,33-0000,108803,465350,85.8,85.8
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,33-0000,94191,292780,79.1,79.1
33-1091,First-Line Supervisors of Security Workers,33-0000,52613,268370,34.3,34.3
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",33-0000,75971,48640,64.4,64.4
33-2011,Firefighters,33-0000,62527,1021720,48.7,48.7
33-2021,Fire Inspectors and Investigators,33-0000,76937,33630,65.0,65.0
33-2022,Forest Fire Inspectors and Prevention Specialists,33-0000,66449,6460,53.2,53.2
33-3011,Bailiffs,33-0000,58326,53760,44.1,44.1
33-3012,Correctional Officers and Jailers,33-0000,62980,1079400,49.2,49.2
33-3021,Detectives and Criminal Investigators,33-0000,95089,338370,79.4,79.4
33-3031,Fish and Game Wardens,33-0000,74539,15850,62.9,62.9
33-3041,Parking Enforcement Workers,33-0000,51372,22920,32.1,32.1
33-3051,Police and Sheriff's Patrol Officers,33-0000,79114,2027810,67.0,67.0
33-3052,Transit and Railroad Police,33-0000,90499,9910,76.6,76.6
33-9011,Animal Control Workers,33-0000,47131,34330,23.7,23.7
33-9021,Private Detectives and Investigators,33-0000,57448,69250,42.7,42.7
33-9031,Gambling Surveillance Officers and Gambling Investigators,33-0000,42560,26430,14.8,14.8
33-9032,Security Guards,33-0000,39615,4536650,10.0,10.0
33-9091,Crossing Guards and Flaggers,33-0000,40328,259740,11.1,11.1
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-0000,33415,458370,1.3,1.3
33-9093,Transportation Security Screeners,33-0000,66633,147360,53.5,53.5
33-9094,School Bus Monitors,33-0000,34271,210980,2.6,2.6
33-9099,"Protective Service Workers, All Other",33-0000,44527,222700,19.5,19.5
35-1011,Chefs and Head Cooks,35-0000,61972,676730,48.3,48.3
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,35-0000,42982,3952400,16.4,16.4
35-2011,"Cooks, Fast Food",35-0000,31715,1927980,0.6,0.6
35-2012,"Cooks, Institution and Cafeteria",35-0000,37997,1309890,7.1,7.1
35-2013,"Cooks, Private Household",35-0000,37440,420,6.9,6.9
35-2014,"Cooks, Restaurant",35-0000,38194,5299630,7.8,7.8
35-2015,"Cooks, Short Order",35-0000,35446,368290,4.5,4.5
35-2019,"Cooks, All Other",35-0000,38588,33840,8.6,8.6
35-2021,Food Preparation Workers,35-0000,34040,2844420,2.1,2.1
35-3011,Bartenders,35-0000,34983,2571620,3.5,3.5
35-3023,Fast Food and Counter Workers,35-0000,31512,11674100,0.5,0.5
35-3031,Waiters and Waitresses,35-0000,34119,8553810,2.2,2.2
35-3041,"Food Servers, Nonrestaurant",35-0000,35085,831760,3.9,3.9
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,35-0000,31423,1932250,0.4,0.4
35-9021,Dishwashers,35-0000,33362,1728480,1.1,1.1
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-0000,30923,1651060,0.1,0.1
35-9099,"Food Preparation and Serving Related Workers, All Other",35-0000,34430,251140,2.9,2.9
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,37-0000,50088,518600,29.5,29.5
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-0000,57315,461070,42.5,42.5
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-0000,37233,6628260,6.6,6.6
37-2012,Maids and Housekeeping Cleaners,37-0000,35667,2537140,5.0,5.0
37-2019,"Building Cleaning Workers, All Other",37-0000,45256,37500,20.7,20.7
37-2021,Pest Control Workers,37-0000,43759,384700,17.5,17.5
37-3011,Landscaping and Groundskeeping Workers,37-0000,40734,3370090,11.4,11.4
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-0000,46239,72540,22.2,22.2
37-3013,Tree Trimmers and Pruners,37-0000,54767,198610,38.3,38.3
37-3019,"Grounds Maintenance Workers, All Other",37-0000,48839,25230,26.9,26.9
39-1013,First-Line Supervisors of Gambling Services Workers,39-0000,63442,78150,50.1,50.1
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",39-0000,49814,314580,28.8,28.8
39-1022,First-Line Supervisors of Personal Service Workers,39-0000,49030,326850,27.2,27.2
39-2011,Animal Trainers,39-0000,42636,38130,15.2,15.2
39-2021,Animal Caretakers,39-0000,34177,803760,2.3,2.3
39-3011,Gambling Dealers,39-0000,32695,238460,1.0,1.0
39-3012,Gambling and Sports Book Writers and Runners,39-0000,35798,21290,5.3,5.3
39-3019,"Gambling Service Workers, All Other",39-0000,34769,35460,3.3,3.3
39-3021,Motion Picture Projectionists,39-0000,35485,2040,4.7,4.7
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",39-0000,31829,382640,0.7,0.7
39-3091,Amusement and Recreation Attendants,39-0000,31106,1191440,0.2,0.2
39-3092,Costume Attendants,39-0000,62781,16750,49.0,49.0
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",39-0000,36942,34720,6.4,6.4
39-3099,"Entertainment Attendants and Related Workers, All Other",39-0000,33364,14590,1.2,1.2
39-4011,Embalmers,39-0000,58448,10800,44.2,44.2
39-4012,Crematory Operators,39-0000,42844,6660,15.8,15.8
39-4021,Funeral Attendants,39-0000,35406,93450,4.2,4.2
39-4031,"Morticians, Undertakers, and Funeral Arrangers",39-0000,54364,74500,37.3,37.3
39-5011,Barbers,39-0000,40797,37340,11.5,11.5
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",39-0000,36386,895290,5.8,5.8
39-5091,"Makeup Artists, Theatrical and Performance",39-0000,139992,2830,93.4,93.4
39-5092,Manicurists and Pedicurists,39-0000,35930,454370,5.4,5.4
