"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
12089,"Nassau, FL",2,Population (persons) 1,104376
12089,"Nassau, FL",3,Per capita personal income (dollars) 2,83469
12091,"Okaloosa, FL",1,Personal income (thousands of dollars),14601665
12091,"Okaloosa, FL",2,Population (persons) 1,220483
12091,"Okaloosa, FL",3,Per capita personal income (dollars) 2,66226
12093,"Okeechobee, FL",1,Personal income (thousands of dollars),1864600
12093,"Okeechobee, FL",2,Population (persons) 1,42369
12093,"Okeechobee, FL",3,Per capita personal income (dollars) 2,44009
12095,"Orange, FL",1,Personal income (thousands of dollars),96397948
12095,"Orange, FL",2,Population (persons) 1,1533646
12095,"Orange, FL",3,Per capita personal income (dollars) 2,62855
12097,"Osceola, FL",1,Personal income (thousands of dollars),22977761
12097,"Osceola, FL",2,Population (persons) 1,468058
12097,"Osceola, FL",3,Per capita personal income (dollars) 2,49092
12099,"Palm Beach, FL",1,Personal income (thousands of dollars),200686833
12099,"Palm Beach, FL",2,Population (persons) 1,1582055
12099,"Palm Beach, FL",3,Per capita personal income (dollars) 2,126852
12101,"Pasco, FL",1,Personal income (thousands of dollars),38977656
12101,"Pasco, FL",2,Population (persons) 1,659114
12101,"Pasco, FL",3,Per capita personal income (dollars) 2,59136
12103,"Pinellas, FL",1,Personal income (thousands of dollars),75615671
12103,"Pinellas, FL",2,Population (persons) 1,965870
12103,"Pinellas, FL",3,Per capita personal income (dollars) 2,78288
12105,"Polk, FL",1,Personal income (thousands of dollars),39466269
12105,"Polk, FL",2,Population (persons) 1,852878
12105,"Polk, FL",3,Per capita personal income (dollars) 2,46274
12107,"Putnam, FL",1,Personal income (thousands of dollars),3398765
12107,"Putnam, FL",2,Population (persons) 1,77301
12107,"Putnam, FL",3,Per capita personal income (dollars) 2,43968
12109,"St. Johns, FL",1,Personal income (thousands of dollars),31174865
12109,"St. Johns, FL",2,Population (persons) 1,334928
12109,"St. Johns, FL",3,Per capita personal income (dollars) 2,93079
12111,"St. Lucie, FL",1,Personal income (thousands of dollars),22256684
12111,"St. Lucie, FL",2,Population (persons) 1,390670
12111,"St. Lucie, FL",3,Per capita personal income (dollars) 2,56971
12113,"Santa Rosa, FL",1,Personal income (thousands of dollars),13059828
12113,"Santa Rosa, FL",2,Population (persons) 1,207653
12113,"Santa Rosa, FL",3,Per capita personal income (dollars) 2,62893
12115,"Sarasota, FL",1,Personal income (thousands of dollars),44847781
12115,"Sarasota, FL",2,Population (persons) 1,476604
12115,"Sarasota, FL",3,Per capita personal income (dollars) 2,94099
12117,"Seminole, FL",1,Personal income (thousands of dollars),32510433
12117,"Seminole, FL",2,Population (persons) 1,494605
12117,"Seminole, FL",3,Per capita personal income (dollars) 2,65730
12119,"Sumter, FL",1,Personal income (thousands of dollars),11821819
12119,"Sumter, FL",2,Population (persons) 1,154693
12119,"Sumter, FL",3,Per capita personal income (dollars) 2,76421
12121,"Suwannee, FL",1,Personal income (thousands of dollars),2128383
12121,"Suwannee, FL",2,Population (persons) 1,47536
12121,"Suwannee, FL",3,Per capita personal income (dollars) 2,44774
12123,"Taylor, FL",1,Personal income (thousands of dollars),840859
12123,"Taylor, FL",2,Population (persons) 1,21843
12123,"Taylor, FL",3,Per capita personal income (dollars) 2,38496
12125,"Union, FL",1,Personal income (thousands of dollars),474589
12125,"Union, FL",2,Population (persons) 1,15738
12125,"Union, FL",3,Per capita personal income (dollars) 2,30156
12127,"Volusia, FL",1,Personal income (thousands of dollars),35719516
12127,"Volusia, FL",2,Population (persons) 1,602772
12127,"Volusia, FL",3,Per capita personal income (dollars) 2,59259
12129,"Wakulla, FL",1,Personal income (thousands of dollars),2049633
12129,"Wakulla, FL",2,Population (persons) 1,37115
12129,"Wakulla, FL",3,Per capita personal income (dollars) 2,55224
12131,"Walton, FL",1,Personal income (thousands of dollars),8480756
12131,"Walton, FL",2,Population (persons) 1,89666
12131,"Walton, FL",3,Per capita personal income (dollars) 2,94582
12133,"Washington, FL",1,Personal income (thousands of dollars),1059392
12133,"Washington, FL",2,Population (persons) 1,26503
12133,"Washington, FL",3,Per capita personal income (dollars) 2,39973
13001,"Appling, GA",1,Personal income (thousands of dollars),944955
13001,"Appling, GA",2,Population (persons) 1,18669
13001,"Appling, GA",3,Per capita personal income (dollars) 2,50616
13003,"Atkinson, GA",1,Personal income (thousands of dollars),338761
13003,"Atkinson, GA",2,Population (persons) 1,8435
13003,"Atkinson, GA",3,Per capita personal income (dollars) 2,40161
13005,"Bacon, GA",1,Personal income (thousands of dollars),494784
13005,"Bacon, GA",2,Population (persons) 1,11045
13005,"Bacon, GA",3,Per capita personal income (dollars) 2,44797
13007,"Baker, GA",1,Personal income (thousands of dollars),144534
13007,"Baker, GA",2,Population (persons) 1,2732
13007,"Baker, GA",3,Per capita personal income (dollars) 2,52904
13009,"Baldwin, GA",1,Personal income (thousands of dollars),2134187
13009,"Baldwin, GA",2,Population (persons) 1,43644
13009,"Baldwin, GA",3,Per capita personal income (dollars) 2,48900
13011,"Banks, GA",1,Personal income (thousands of dollars),981612
13011,"Banks, GA",2,Population (persons) 1,20318
13011,"Banks, GA",3,Per capita personal income (dollars) 2,48312
13013,"Barrow, GA",1,Personal income (thousands of dollars),5000054
13013,"Barrow, GA",2,Population (persons) 1,96294
13013,"Barrow, GA",3,Per capita personal income (dollars) 2,51925
13015,"Bartow, GA",1,Personal income (thousands of dollars),6269829
13015,"Bartow, GA",2,Population (persons) 1,117508
13015,"Bartow, GA",3,Per capita personal income (dollars) 2,53357
13017,"Ben Hill, GA",1,Personal income (thousands of dollars),762721
13017,"Ben Hill, GA",2,Population (persons) 1,16945
13017,"Ben Hill, GA",3,Per capita personal income (dollars) 2,45012
13019,"Berrien, GA",1,Personal income (thousands of dollars),813650
13019,"Berrien, GA",2,Population (persons) 1,18666
13019,"Berrien, GA",3,Per capita personal income (dollars) 2,43590
13021,"Bibb, GA",1,Personal income (thousands of dollars),7994816
13021,"Bibb, GA",2,Population (persons) 1,157056
13021,"Bibb, GA",3,Per capita personal income (dollars) 2,50904
13023,"Bleckley, GA",1,Personal income (thousands of dollars),568734
13023,"Bleckley, GA",2,Population (persons) 1,12626
13023,"Bleckley, GA",3,Per capita personal income (dollars) 2,45045
13025,"Brantley, GA",1,Personal income (thousands of dollars),725148
13025,"Brantley, GA",2,Population (persons) 1,18795
13025,"Brantley, GA",3,Per capita personal income (dollars) 2,38582
13027,"Brooks, GA",1,Personal income (thousands of dollars),705453
13027,"Brooks, GA",2,Population (persons) 1,16344
13027,"Brooks, GA",3,Per capita personal income (dollars) 2,43163
13029,"Bryan, GA",1,Personal income (thousands of dollars),3280242
13029,"Bryan, GA",2,Population (persons) 1,51105
13029,"Bryan, GA",3,Per capita personal income (dollars) 2,64186
13031,"Bulloch, GA",1,Personal income (thousands of dollars),3739726
13031,"Bulloch, GA",2,Population (persons) 1,85454
13031,"Bulloch, GA",3,Per capita personal income (dollars) 2,43763
13033,"Burke, GA",1,Personal income (thousands of dollars),1077899
13033,"Burke, GA",2,Population (persons) 1,24472
13033,"Burke, GA",3,Per capita personal income (dollars) 2,44046
13035,"Butts, GA",1,Personal income (thousands of dollars),1264538
13035,"Butts, GA",2,Population (persons) 1,27127
13035,"Butts, GA",3,Per capita personal income (dollars) 2,46615
13037,"Calhoun, GA",1,Personal income (thousands of dollars),206946
13037,"Calhoun, GA",2,Population (persons) 1,5441
13037,"Calhoun, GA",3,Per capita personal income (dollars) 2,38035
13039,"Camden, GA",1,Personal income (thousands of dollars),2882625
13039,"Camden, GA",2,Population (persons) 1,59099
13039,"Camden, GA",3,Per capita personal income (dollars) 2,48776
13043,"Candler, GA",1,Personal income (thousands of dollars),497110
13043,"Candler, GA",2,Population (persons) 1,11130
13043,"Candler, GA",3,Per capita personal income (dollars) 2,44664
13045,"Carroll, GA",1,Personal income (thousands of dollars),6996805
13045,"Carroll, GA",2,Population (persons) 1,129911
13045,"Carroll, GA",3,Per capita personal income (dollars) 2,53858
13047,"Catoosa, GA",1,Personal income (thousands of dollars),3301761
13047,"Catoosa, GA",2,Population (persons) 1,68940
13047,"Catoosa, GA",3,Per capita personal income (dollars) 2,47893
13049,"Charlton, GA",1,Personal income (thousands of dollars),451860
13049,"Charlton, GA",2,Population (persons) 1,13021
13049,"Charlton, GA",3,Per capita personal income (dollars) 2,34702
13051,"Chatham, GA",1,Personal income (thousands of dollars),19354921
13051,"Chatham, GA",2,Population (persons) 1,307336
13051,"Chatham, GA",3,Per capita personal income (dollars) 2,62976
13053,"Chattahoochee, GA",1,Personal income (thousands of dollars),354851
13053,"Chattahoochee, GA",2,Population (persons) 1,8548
13053,"Chattahoochee, GA",3,Per capita personal income (dollars) 2,41513
13055,"Chattooga, GA",1,Personal income (thousands of dollars),998214
13055,"Chattooga, GA",2,Population (persons) 1,25306
13055,"Chattooga, GA",3,Per capita personal income (dollars) 2,39446
13057,"Cherokee, GA",1,Personal income (thousands of dollars),21962386
13057,"Cherokee, GA",2,Population (persons) 1,293513
13057,"Cherokee, GA",3,Per capita personal income (dollars) 2,74826
13059,"Clarke, GA",1,Personal income (thousands of dollars),6074983
13059,"Clarke, GA",2,Population (persons) 1,129995
13059,"Clarke, GA",3,Per capita personal income (dollars) 2,46732
13061,"Clay, GA",1,Personal income (thousands of dollars),116899
13061,"Clay, GA",2,Population (persons) 1,2815
13061,"Clay, GA",3,Per capita personal income (dollars) 2,41527
13063,"Clayton, GA",1,Personal income (thousands of dollars),11011251
13063,"Clayton, GA",2,Population (persons) 1,297703
13063,"Clayton, GA",3,Per capita personal income (dollars) 2,36987
13065,"Clinch, GA",1,Personal income (thousands of dollars),325589
13065,"Clinch, GA",2,Population (persons) 1,6871
13065,"Clinch, GA",3,Per capita personal income (dollars) 2,47386
13067,"Cobb, GA",1,Personal income (thousands of dollars),62674289
13067,"Cobb, GA",2,Population (persons) 1,787538
13067,"Cobb, GA",3,Per capita personal income (dollars) 2,79583
13069,"Coffee, GA",1,Personal income (thousands of dollars),1865993
13069,"Coffee, GA",2,Population (persons) 1,43851
13069,"Coffee, GA",3,Per capita personal income (dollars) 2,42553
13071,"Colquitt, GA",1,Personal income (thousands of dollars),2083256
13071,"Colquitt, GA",2,Population (persons) 1,46977
13071,"Colquitt, GA",3,Per capita personal income (dollars) 2,44346
13073,"Columbia, GA",1,Personal income (thousands of dollars),10584970
13073,"Columbia, GA",2,Population (persons) 1,167472
13073,"Columbia, GA",3,Per capita personal income (dollars) 2,63204
13075,"Cook, GA",1,Personal income (thousands of dollars),763091
13075,"Cook, GA",2,Population (persons) 1,17984
13075,"Cook, GA",3,Per capita personal income (dollars) 2,42432
13077,"Coweta, GA",1,Personal income (thousands of dollars),10294894
13077,"Coweta, GA",2,Population (persons) 1,158233
13077,"Coweta, GA",3,Per capita personal income (dollars) 2,65062
13079,"Crawford, GA",1,Personal income (thousands of dollars),539203
13079,"Crawford, GA",2,Population (persons) 1,12349
13079,"Crawford, GA",3,Per capita personal income (dollars) 2,43664
13081,"Crisp, GA",1,Personal income (thousands of dollars),982755
13081,"Crisp, GA",2,Population (persons) 1,19468
13081,"Crisp, GA",3,Per capita personal income (dollars) 2,50481
13083,"Dade, GA",1,Personal income (thousands of dollars),754915
13083,"Dade, GA",2,Population (persons) 1,16068
13083,"Dade, GA",3,Per capita personal income (dollars) 2,46983
13085,"Dawson, GA",1,Personal income (thousands of dollars),2182961
13085,"Dawson, GA",2,Population (persons) 1,33748
13085,"Dawson, GA",3,Per capita personal income (dollars) 2,64684
13087,"Decatur, GA",1,Personal income (thousands of dollars),1396615
13087,"Decatur, GA",2,Population (persons) 1,29391
13087,"Decatur, GA",3,Per capita personal income (dollars) 2,47518
13089,"DeKalb, GA",1,Personal income (thousands of dollars),54981428
13089,"DeKalb, GA",2,Population (persons) 1,770307
13089,"DeKalb, GA",3,Per capita personal income (dollars) 2,71376
13091,"Dodge, GA",1,Personal income (thousands of dollars),816780
13091,"Dodge, GA",2,Population (persons) 1,19630
13091,"Dodge, GA",3,Per capita personal income (dollars) 2,41609
13093,"Dooly, GA",1,Personal income (thousands of dollars),489024
13093,"Dooly, GA",2,Population (persons) 1,11186
13093,"Dooly, GA",3,Per capita personal income (dollars) 2,43718
13095,"Dougherty, GA",1,Personal income (thousands of dollars),4122850
13095,"Dougherty, GA",2,Population (persons) 1,82418
13095,"Dougherty, GA",3,Per capita personal income (dollars) 2,50024
13097,"Douglas, GA",1,Personal income (thousands of dollars),7230131
13097,"Douglas, GA",2,Population (persons) 1,151887
13097,"Douglas, GA",3,Per capita personal income (dollars) 2,47602
13099,"Early, GA",1,Personal income (thousands of dollars),486468
13099,"Early, GA",2,Population (persons) 1,10444
13099,"Early, GA",3,Per capita personal income (dollars) 2,46579
13101,"Echols, GA",1,Personal income (thousands of dollars),133409
13101,"Echols, GA",2,Population (persons) 1,3698
13101,"Echols, GA",3,Per capita personal income (dollars) 2,36076
13103,"Effingham, GA",1,Personal income (thousands of dollars),3922603
13103,"Effingham, GA",2,Population (persons) 1,73148
13103,"Effingham, GA",3,Per capita personal income (dollars) 2,53626
13105,"Elbert, GA",1,Personal income (thousands of dollars),943689
13105,"Elbert, GA",2,Population (persons) 1,20152
13105,"Elbert, GA",3,Per capita personal income (dollars) 2,46829
13107,"Emanuel, GA",1,Personal income (thousands of dollars),1018086
13107,"Emanuel, GA",2,Population (persons) 1,23224
13107,"Emanuel, GA",3,Per capita personal income (dollars) 2,43838
13109,"Evans, GA",1,Personal income (thousands of dollars),493864
13109,"Evans, GA",2,Population (persons) 1,10869
13109,"Evans, GA",3,Per capita personal income (dollars) 2,45438
13111,"Fannin, GA",1,Personal income (thousands of dollars),1499838
13111,"Fannin, GA",2,Population (persons) 1,25854
13111,"Fannin, GA",3,Per capita personal income (dollars) 2,58012
13113,"Fayette, GA",1,Personal income (thousands of dollars),10153616
13113,"Fayette, GA",2,Population (persons) 1,125107
13113,"Fayette, GA",3,Per capita personal income (dollars) 2,81159
13115,"Floyd, GA",1,Personal income (thousands of dollars),4903188
13115,"Floyd, GA",2,Population (persons) 1,101390
13115,"Floyd, GA",3,Per capita personal income (dollars) 2,48360
13117,"Forsyth, GA",1,Personal income (thousands of dollars),24572896
13117,"Forsyth, GA",2,Population (persons) 1,280096
13117,"Forsyth, GA",3,Per capita personal income (dollars) 2,87730
13119,"Franklin, GA",1,Personal income (thousands of dollars),1189135
13119,"Franklin, GA",2,Population (persons) 1,25208
13119,"Franklin, GA",3,Per capita personal income (dollars) 2,47173
13121,"Fulton, GA",1,Personal income (thousands of dollars),121288829
13121,"Fulton, GA",2,Population (persons) 1,1090354
13121,"Fulton, GA",3,Per capita personal income (dollars) 2,111238
13123,"Gilmer, GA",1,Personal income (thousands of dollars),1708221
13123,"Gilmer, GA",2,Population (persons) 1,33327
13123,"Gilmer, GA",3,Per capita personal income (dollars) 2,51256
13125,"Glascock, GA",1,Personal income (thousands of dollars),126265
13125,"Glascock, GA",2,Population (persons) 1,3008
13125,"Glascock, GA",3,Per capita personal income (dollars) 2,41976
13127,"Glynn, GA",1,Personal income (thousands of dollars),5851353
13127,"Glynn, GA",2,Population (persons) 1,86540
13127,"Glynn, GA",3,Per capita personal income (dollars) 2,67614
13129,"Gordon, GA",1,Personal income (thousands of dollars),2977562
13129,"Gordon, GA",2,Population (persons) 1,60765
13129,"Gordon, GA",3,Per capita personal income (dollars) 2,49001
13131,"Grady, GA",1,Personal income (thousands of dollars),1096765
13131,"Grady, GA",2,Population (persons) 1,26271
13131,"Grady, GA",3,Per capita personal income (dollars) 2,41748
13133,"Greene, GA",1,Personal income (thousands of dollars),1852654
13133,"Greene, GA",2,Population (persons) 1,21091
13133,"Greene, GA",3,Per capita personal income (dollars) 2,87841
13135,"Gwinnett, GA",1,Personal income (thousands of dollars),57512524
13135,"Gwinnett, GA",2,Population (persons) 1,1003869
13135,"Gwinnett, GA",3,Per capita personal income (dollars) 2,57291
13137,"Habersham, GA",1,Personal income (thousands of dollars),2181716
13137,"Habersham, GA",2,Population (persons) 1,49665
13137,"Habersham, GA",3,Per capita personal income (dollars) 2,43929
13139,"Hall, GA",1,Personal income (thousands of dollars),13818399
13139,"Hall, GA",2,Population (persons) 1,221745
13139,"Hall, GA",3,Per capita personal income (dollars) 2,62317
13141,"Hancock, GA",1,Personal income (thousands of dollars),339257
13141,"Hancock, GA",2,Population (persons) 1,8683
13141,"Hancock, GA",3,Per capita personal income (dollars) 2,39071
13143,"Haralson, GA",1,Personal income (thousands of dollars),1586731
13143,"Haralson, GA",2,Population (persons) 1,32404
13143,"Haralson, GA",3,Per capita personal income (dollars) 2,48967
13145,"Harris, GA",1,Personal income (thousands of dollars),2347907
13145,"Harris, GA",2,Population (persons) 1,36929
13145,"Harris, GA",3,Per capita personal income (dollars) 2,63579
13147,"Hart, GA",1,Personal income (thousands of dollars),1425163
13147,"Hart, GA",2,Population (persons) 1,28052
13147,"Hart, GA",3,Per capita personal income (dollars) 2,50804
13149,"Heard, GA",1,Personal income (thousands of dollars),536629
13149,"Heard, GA",2,Population (persons) 1,12119
13149,"Heard, GA",3,Per capita personal income (dollars) 2,44280
13151,"Henry, GA",1,Personal income (thousands of dollars),13623572
13151,"Henry, GA",2,Population (persons) 1,259315
13151,"Henry, GA",3,Per capita personal income (dollars) 2,52537
13153,"Houston, GA",1,Personal income (thousands of dollars),9216305
13153,"Houston, GA",2,Population (persons) 1,174897
13153,"Houston, GA",3,Per capita personal income (dollars) 2,52696
13155,"Irwin, GA",1,Personal income (thousands of dollars),440757
13155,"Irwin, GA",2,Population (persons) 1,9155
13155,"Irwin, GA",3,Per capita personal income (dollars) 2,48144
13157,"Jackson, GA",1,Personal income (thousands of dollars),5625016
13157,"Jackson, GA",2,Population (persons) 1,93825
13157,"Jackson, GA",3,Per capita personal income (dollars) 2,59952
13159,"Jasper, GA",1,Personal income (thousands of dollars),877722
13159,"Jasper, GA",2,Population (persons) 1,17219
13159,"Jasper, GA",3,Per capita personal income (dollars) 2,50974
13161,"Jeff Davis, GA",1,Personal income (thousands of dollars),624957
13161,"Jeff Davis, GA",2,Population (persons) 1,15119
13161,"Jeff Davis, GA",3,Per capita personal income (dollars) 2,41336
13163,"Jefferson, GA",1,Personal income (thousands of dollars),705279
13163,"Jefferson, GA",2,Population (persons) 1,15019
13163,"Jefferson, GA",3,Per capita personal income (dollars) 2,46959
13165,"Jenkins, GA",1,Personal income (thousands of dollars),354696
13165,"Jenkins, GA",2,Population (persons) 1,8836
13165,"Jenkins, GA",3,Per capita personal income (dollars) 2,40142
13167,"Johnson, GA",1,Personal income (thousands of dollars),343637
13167,"Johnson, GA",2,Population (persons) 1,9178
13167,"Johnson, GA",3,Per capita personal income (dollars) 2,37441
13169,"Jones, GA",1,Personal income (thousands of dollars),1403681
13169,"Jones, GA",2,Population (persons) 1,29047
13169,"Jones, GA",3,Per capita personal income (dollars) 2,48324
13171,"Lamar, GA",1,Personal income (thousands of dollars),994711
13171,"Lamar, GA",2,Population (persons) 1,20690
13171,"Lamar, GA",3,Per capita personal income (dollars) 2,48077
13173,"Lanier, GA",1,Personal income (thousands of dollars),386913
13173,"Lanier, GA",2,Population (persons) 1,10464
13173,"Lanier, GA",3,Per capita personal income (dollars) 2,36976
13175,"Laurens, GA",1,Personal income (thousands of dollars),2449772
13175,"Laurens, GA",2,Population (persons) 1,50287
13175,"Laurens, GA",3,Per capita personal income (dollars) 2,48716
13177,"Lee, GA",1,Personal income (thousands of dollars),1887698
13177,"Lee, GA",2,Population (persons) 1,34073
13177,"Lee, GA",3,Per capita personal income (dollars) 2,55402
13179,"Liberty, GA",1,Personal income (thousands of dollars),3124774
13179,"Liberty, GA",2,Population (persons) 1,68607
13179,"Liberty, GA",3,Per capita personal income (dollars) 2,45546
13181,"Lincoln, GA",1,Personal income (thousands of dollars),401628
13181,"Lincoln, GA",2,Population (persons) 1,8049
13181,"Lincoln, GA",3,Per capita personal income (dollars) 2,49898
13183,"Long, GA",1,Personal income (thousands of dollars),862431
13183,"Long, GA",2,Population (persons) 1,20439
13183,"Long, GA",3,Per capita personal income (dollars) 2,42195
13185,"Lowndes, GA",1,Personal income (thousands of dollars),5823382
13185,"Lowndes, GA",2,Population (persons) 1,122082
13185,"Lowndes, GA",3,Per capita personal income (dollars) 2,47701
13187,"Lumpkin, GA",1,Personal income (thousands of dollars),1878154
13187,"Lumpkin, GA",2,Population (persons) 1,36016
13187,"Lumpkin, GA",3,Per capita personal income (dollars) 2,52148
13189,"McDuffie, GA",1,Personal income (thousands of dollars),1014196
13189,"McDuffie, GA",2,Population (persons) 1,21764
13189,"McDuffie, GA",3,Per capita personal income (dollars) 2,46600
13191,"McIntosh, GA",1,Personal income (thousands of dollars),634590
13191,"McIntosh, GA",2,Population (persons) 1,11800
13191,"McIntosh, GA",3,Per capita personal income (dollars) 2,53779
13193,"Macon, GA",1,Personal income (thousands of dollars),554863
13193,"Macon, GA",2,Population (persons) 1,11831
13193,"Macon, GA",3,Per capita personal income (dollars) 2,46899
13195,"Madison, GA",1,Personal income (thousands of dollars),1681505
13195,"Madison, GA",2,Population (persons) 1,32771
13195,"Madison, GA",3,Per capita personal income (dollars) 2,51311
13197,"Marion, GA",1,Personal income (thousands of dollars),312739
13197,"Marion, GA",2,Population (persons) 1,7635
13197,"Marion, GA",3,Per capita personal income (dollars) 2,40961
13199,"Meriwether, GA",1,Personal income (thousands of dollars),1056629
13199,"Meriwether, GA",2,Population (persons) 1,21439
13199,"Meriwether, GA",3,Per capita personal income (dollars) 2,49285
13201,"Miller, GA",1,Personal income (thousands of dollars),326310
13201,"Miller, GA",2,Population (persons) 1,5824
13201,"Miller, GA",3,Per capita personal income (dollars) 2,56029
13205,"Mitchell, GA",1,Personal income (thousands of dollars),1020169
13205,"Mitchell, GA",2,Population (persons) 1,20329
13205,"Mitchell, GA",3,Per capita personal income (dollars) 2,50183
13207,"Monroe, GA",1,Personal income (thousands of dollars),1857489
13207,"Monroe, GA",2,Population (persons) 1,31437
13207,"Monroe, GA",3,Per capita personal income (dollars) 2,59086
13209,"Montgomery, GA",1,Personal income (thousands of dollars),348001
13209,"Montgomery, GA",2,Population (persons) 1,8566
13209,"Montgomery, GA",3,Per capita personal income (dollars) 2,40626
13211,"Morgan, GA",1,Personal income (thousands of dollars),1480147
13211,"Morgan, GA",2,Population (persons) 1,21940
13211,"Morgan, GA",3,Per capita personal income (dollars) 2,67463
13213,"Murray, GA",1,Personal income (thousands of dollars),1700926
13213,"Murray, GA",2,Population (persons) 1,41316
13213,"Murray, GA",3,Per capita personal income (dollars) 2,41169
13215,"Muscogee, GA",1,Personal income (thousands of dollars),11205009
13215,"Muscogee, GA",2,Population (persons) 1,201830
13215,"Muscogee, GA",3,Per capita personal income (dollars) 2,55517
13217,"Newton, GA",1,Personal income (thousands of dollars),5727906
13217,"Newton, GA",2,Population (persons) 1,124010
13217,"Newton, GA",3,Per capita personal income (dollars) 2,46189
13219,"Oconee, GA",1,Personal income (thousands of dollars),4088597
13219,"Oconee, GA",2,Population (persons) 1,44751
13219,"Oconee, GA",3,Per capita personal income (dollars) 2,91363
13221,"Oglethorpe, GA",1,Personal income (thousands of dollars),816061
13221,"Oglethorpe, GA",2,Population (persons) 1,16172
13221,"Oglethorpe, GA",3,Per capita personal income (dollars) 2,50461
13223,"Paulding, GA",1,Personal income (thousands of dollars),9873439
13223,"Paulding, GA",2,Population (persons) 1,188549
13223,"Paulding, GA",3,Per capita personal income (dollars) 2,52365
13225,"Peach, GA",1,Personal income (thousands of dollars),1422991
13225,"Peach, GA",2,Population (persons) 1,29213
13225,"Peach, GA",3,Per capita personal income (dollars) 2,48711
13227,"Pickens, GA",1,Personal income (thousands of dollars),2439169
13227,"Pickens, GA",2,Population (persons) 1,36580
13227,"Pickens, GA",3,Per capita personal income (dollars) 2,66680
13229,"Pierce, GA",1,Personal income (thousands of dollars),922568
13229,"Pierce, GA",2,Population (persons) 1,20669
13229,"Pierce, GA",3,Per capita personal income (dollars) 2,44635
13231,"Pike, GA",1,Personal income (thousands of dollars),1144830
13231,"Pike, GA",2,Population (persons) 1,20669
13231,"Pike, GA",3,Per capita personal income (dollars) 2,55389
13233,"Polk, GA",1,Personal income (thousands of dollars),1952643
13233,"Polk, GA",2,Population (persons) 1,44610
13233,"Polk, GA",3,Per capita personal income (dollars) 2,43771
13235,"Pulaski, GA",1,Personal income (thousands of dollars),459870
13235,"Pulaski, GA",2,Population (persons) 1,10180
13235,"Pulaski, GA",3,Per capita personal income (dollars) 2,45174
13237,"Putnam, GA",1,Personal income (thousands of dollars),1471438
13237,"Putnam, GA",2,Population (persons) 1,23383
13237,"Putnam, GA",3,Per capita personal income (dollars) 2,62928
13239,"Quitman, GA",1,Personal income (thousands of dollars),97115
13239,"Quitman, GA",2,Population (persons) 1,2323
13239,"Quitman, GA",3,Per capita personal income (dollars) 2,41806
13241,"Rabun, GA",1,Personal income (thousands of dollars),1026644
13241,"Rabun, GA",2,Population (persons) 1,17711
13241,"Rabun, GA",3,Per capita personal income (dollars) 2,57966
13243,"Randolph, GA",1,Personal income (thousands of dollars),283408
13243,"Randolph, GA",2,Population (persons) 1,6085
13243,"Randolph, GA",3,Per capita personal income (dollars) 2,46575
13245,"Richmond, GA",1,Personal income (thousands of dollars),9725431
13245,"Richmond, GA",2,Population (persons) 1,206303
13245,"Richmond, GA",3,Per capita personal income (dollars) 2,47141
13247,"Rockdale, GA",1,Personal income (thousands of dollars),4510659
13247,"Rockdale, GA",2,Population (persons) 1,97610
13247,"Rockdale, GA",3,Per capita personal income (dollars) 2,46211
13249,"Schley, GA",1,Personal income (thousands of dollars),202305
13249,"Schley, GA",2,Population (persons) 1,4503
13249,"Schley, GA",3,Per capita personal income (dollars) 2,44927
13251,"Screven, GA",1,Personal income (thousands of dollars),632687
13251,"Screven, GA",2,Population (persons) 1,14325
13251,"Screven, GA",3,Per capita personal income (dollars) 2,44167
13253,"Seminole, GA",1,Personal income (thousands of dollars),447470
13253,"Seminole, GA",2,Population (persons) 1,9274
13253,"Seminole, GA",3,Per capita personal income (dollars) 2,48250
13255,"Spalding, GA",1,Personal income (thousands of dollars),3314192
13255,"Spalding, GA",2,Population (persons) 1,70292
13255,"Spalding, GA",3,Per capita personal income (dollars) 2,47149
13257,"Stephens, GA",1,Personal income (thousands of dollars),1363656
13257,"Stephens, GA",2,Population (persons) 1,27498
13257,"Stephens, GA",3,Per capita personal income (dollars) 2,49591
13259,"Stewart, GA",1,Personal income (thousands of dollars),176332
13259,"Stewart, GA",2,Population (persons) 1,4809
13259,"Stewart, GA",3,Per capita personal income (dollars) 2,36667
13261,"Sumter, GA",1,Personal income (thousands of dollars),1335863
13261,"Sumter, GA",2,Population (persons) 1,28972
13261,"Sumter, GA",3,Per capita personal income (dollars) 2,46109
13263,"Talbot, GA",1,Personal income (thousands of dollars),307496
13263,"Talbot, GA",2,Population (persons) 1,5755
13263,"Talbot, GA",3,Per capita personal income (dollars) 2,53431
13265,"Taliaferro, GA",1,Personal income (thousands of dollars),75361
13265,"Taliaferro, GA",2,Population (persons) 1,1620
13265,"Taliaferro, GA",3,Per capita personal income (dollars) 2,46519
13267,"Tattnall, GA",1,Personal income (thousands of dollars),994626
13267,"Tattnall, GA",2,Population (persons) 1,24275
13267,"Tattnall, GA",3,Per capita personal income (dollars) 2,40973
13269,"Taylor, GA",1,Personal income (thousands of dollars),341120
13269,"Taylor, GA",2,Population (persons) 1,7783
13269,"Taylor, GA",3,Per capita personal income (dollars) 2,43829
13271,"Telfair, GA",1,Personal income (thousands of dollars),392531
13271,"Telfair, GA",2,Population (persons) 1,11000
