"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
01061,"Geneva, AL",2,Population (persons) 1,27259
01061,"Geneva, AL",3,Per capita personal income (dollars) 2,46556
01063,"Greene, AL",1,Personal income (thousands of dollars),306677
01063,"Greene, AL",2,Population (persons) 1,7127
01063,"Greene, AL",3,Per capita personal income (dollars) 2,43030
01065,"Hale, AL",1,Personal income (thousands of dollars),730501
01065,"Hale, AL",2,Population (persons) 1,15116
01065,"Hale, AL",3,Per capita personal income (dollars) 2,48326
01067,"Henry, AL",1,Personal income (thousands of dollars),1027895
01067,"Henry, AL",2,Population (persons) 1,18141
01067,"Henry, AL",3,Per capita personal income (dollars) 2,56661
01069,"Houston, AL",1,Personal income (thousands of dollars),6311941
01069,"Houston, AL",2,Population (persons) 1,109366
01069,"Houston, AL",3,Per capita personal income (dollars) 2,57714
01071,"Jackson, AL",1,Personal income (thousands of dollars),2585644
01071,"Jackson, AL",2,Population (persons) 1,53780
01071,"Jackson, AL",3,Per capita personal income (dollars) 2,48078
01073,"Jefferson, AL",1,Personal income (thousands of dollars),50063400
01073,"Jefferson, AL",2,Population (persons) 1,664744
01073,"Jefferson, AL",3,Per capita personal income (dollars) 2,75312
01075,"Lamar, AL",1,Personal income (thousands of dollars),607890
01075,"Lamar, AL",2,Population (persons) 1,13543
01075,"Lamar, AL",3,Per capita personal income (dollars) 2,44886
01077,"Lauderdale, AL",1,Personal income (thousands of dollars),4832246
01077,"Lauderdale, AL",2,Population (persons) 1,97502
01077,"Lauderdale, AL",3,Per capita personal income (dollars) 2,49560
01079,"Lawrence, AL",1,Personal income (thousands of dollars),1584018
01079,"Lawrence, AL",2,Population (persons) 1,33567
01079,"Lawrence, AL",3,Per capita personal income (dollars) 2,47190
01081,"Lee, AL",1,Personal income (thousands of dollars),9544687
01081,"Lee, AL",2,Population (persons) 1,187847
01081,"Lee, AL",3,Per capita personal income (dollars) 2,50811
01083,"Limestone, AL",1,Personal income (thousands of dollars),7090561
01083,"Limestone, AL",2,Population (persons) 1,118942
01083,"Limestone, AL",3,Per capita personal income (dollars) 2,59614
01085,"Lowndes, AL",1,Personal income (thousands of dollars),551280
01085,"Lowndes, AL",2,Population (persons) 1,9485
01085,"Lowndes, AL",3,Per capita personal income (dollars) 2,58121
01087,"Macon, AL",1,Personal income (thousands of dollars),813313
01087,"Macon, AL",2,Population (persons) 1,18159
01087,"Macon, AL",3,Per capita personal income (dollars) 2,44788
01089,"Madison, AL",1,Personal income (thousands of dollars),29227380
01089,"Madison, AL",2,Population (persons) 1,423355
01089,"Madison, AL",3,Per capita personal income (dollars) 2,69038
01091,"Marengo, AL",1,Personal income (thousands of dollars),973286
01091,"Marengo, AL",2,Population (persons) 1,18512
01091,"Marengo, AL",3,Per capita personal income (dollars) 2,52576
01093,"Marion, AL",1,Personal income (thousands of dollars),1383435
01093,"Marion, AL",2,Population (persons) 1,29323
01093,"Marion, AL",3,Per capita personal income (dollars) 2,47179
01095,"Marshall, AL",1,Personal income (thousands of dollars),5231303
01095,"Marshall, AL",2,Population (persons) 1,102156
01095,"Marshall, AL",3,Per capita personal income (dollars) 2,51209
01097,"Mobile, AL",1,Personal income (thousands of dollars),22225329
01097,"Mobile, AL",2,Population (persons) 1,412339
01097,"Mobile, AL",3,Per capita personal income (dollars) 2,53901
01099,"Monroe, AL",1,Personal income (thousands of dollars),891079
01099,"Monroe, AL",2,Population (persons) 1,19057
01099,"Monroe, AL",3,Per capita personal income (dollars) 2,46759
01101,"Montgomery, AL",1,Personal income (thousands of dollars),12935903
01101,"Montgomery, AL",2,Population (persons) 1,225894
01101,"Montgomery, AL",3,Per capita personal income (dollars) 2,57265
01103,"Morgan, AL",1,Personal income (thousands of dollars),6596493
01103,"Morgan, AL",2,Population (persons) 1,126084
01103,"Morgan, AL",3,Per capita personal income (dollars) 2,52318
01105,"Perry, AL",1,Personal income (thousands of dollars),343681
01105,"Perry, AL",2,Population (persons) 1,7719
01105,"Perry, AL",3,Per capita personal income (dollars) 2,44524
01107,"Pickens, AL",1,Personal income (thousands of dollars),833098
01107,"Pickens, AL",2,Population (persons) 1,18508
01107,"Pickens, AL",3,Per capita personal income (dollars) 2,45013
01109,"Pike, AL",1,Personal income (thousands of dollars),1712695
01109,"Pike, AL",2,Population (persons) 1,33124
01109,"Pike, AL",3,Per capita personal income (dollars) 2,51706
01111,"Randolph, AL",1,Personal income (thousands of dollars),1048327
01111,"Randolph, AL",2,Population (persons) 1,23067
01111,"Randolph, AL",3,Per capita personal income (dollars) 2,45447
01113,"Russell, AL",1,Personal income (thousands of dollars),2587102
01113,"Russell, AL",2,Population (persons) 1,58837
01113,"Russell, AL",3,Per capita personal income (dollars) 2,43971
01115,"St. Clair, AL",1,Personal income (thousands of dollars),5319193
01115,"St. Clair, AL",2,Population (persons) 1,96927
01115,"St. Clair, AL",3,Per capita personal income (dollars) 2,54878
01117,"Shelby, AL",1,Personal income (thousands of dollars),17582697
01117,"Shelby, AL",2,Population (persons) 1,235969
01117,"Shelby, AL",3,Per capita personal income (dollars) 2,74513
01119,"Sumter, AL",1,Personal income (thousands of dollars),499503
01119,"Sumter, AL",2,Population (persons) 1,11607
