"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2022,2023,2024
02925,"Upper Yukon Division, AK*",(NA),(NA),(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA)
02928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA)
02929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA)
04001,"Apache, AZ",3024735,3122136,3164216
04003,"Cochise, AZ",6342945,6674916,6955647
04005,"Coconino, AZ",8447336,8947580,9260436
04007,"Gila, AZ",2709336,2895217,3087433
04009,"Graham, AZ",1599607,1697455,1777262
04011,"Greenlee, AZ",491997,522754,551184
04012,"La Paz, AZ*",944253,958214,976199
04013,"Maricopa, AZ",293477159,317707305,337283056
04015,"Mohave, AZ",9642517,10318586,11003813
04017,"Navajo, AZ",4668734,4919439,5100954
04019,"Pima, AZ",58057647,62549592,65267583
04021,"Pinal, AZ",21834710,23880965,26089146
04023,"Santa Cruz, AZ",2273078,2476677,2567853
04025,"Yavapai, AZ",12811573,14315330,15336046
04027,"Yuma, AZ*",9393110,10054018,10482770
05001,"Arkansas, AR",961583,1051357,995074
05003,"Ashley, AR",797573,822398,862750
05005,"Baxter, AR",1872689,1979179,2076035
05007,"Benton, AR",32947980,36296846,38778980
05009,"Boone, AR",1639529,1693121,1809125
05011,"Bradley, AR",487391,495580,513518
05013,"Calhoun, AR",217124,225442,244042
05015,"Carroll, AR",1199742,1174481,1310814
05017,"Chicot, AR",461328,476790,477336
05019,"Clark, AR",897177,932821,978698
05021,"Clay, AR",629985,662365,665976
05023,"Cleburne, AR",1211354,1264743,1344072
05025,"Cleveland, AR",393383,384227,418399
05027,"Columbia, AR",1004429,1065261,1095506
05029,"Conway, AR",1029504,1034014,1098553
05031,"Craighead, AR",5296735,5563172,5875983
05033,"Crawford, AR",2561313,2683891,2817645
05035,"Crittenden, AR",2135761,2186031,2214550
05037,"Cross, AR",708306,743306,745056
05039,"Dallas, AR",292060,303606,314885
05041,"Desha, AR",525373,544226,541747
05043,"Drew, AR",789202,815961,844905
05045,"Faulkner, AR",6125000,6544896,6916989
05047,"Franklin, AR",742348,748268,829308
05049,"Fulton, AR",430103,442646,462968
05051,"Garland, AR",4846464,5101371,5358261
05053,"Grant, AR",862262,917555,974600
05055,"Greene, AR",1931934,2040670,2096299
05057,"Hempstead, AR",857729,823051,890624
05059,"Hot Spring, AR",1265316,1314466,1375601
05061,"Howard, AR",621912,579252,647758
05063,"Independence, AR",1729134,1807409,1884934
05065,"Izard, AR",497880,529501,562108
05067,"Jackson, AR",769151,858587,841307
05069,"Jefferson, AR",2670352,2759884,2816312
05071,"Johnson, AR",931461,923217,975526
05073,"Lafayette, AR",308860,306974,332232
05075,"Lawrence, AR",692133,715437,708520
05077,"Lee, AR",313294,316985,327835
05079,"Lincoln, AR",436303,434711,463655
05081,"Little River, AR",497285,514981,546890
05083,"Logan, AR",875707,881667,954900
05085,"Lonoke, AR",3669930,3927700,4105608
05087,"Madison, AR",792984,762343,877464
05089,"Marion, AR",640783,673747,713496
05091,"Miller, AR",1714951,1798064,1887278
05093,"Mississippi, AR",1726147,1844713,2014195
05095,"Monroe, AR",276844,301959,290004
05097,"Montgomery, AR",331400,347912,366335
05099,"Nevada, AR",333946,326000,344449
05101,"Newton, AR",271160,280897,294043
05103,"Ouachita, AR",1061877,1104701,1150879
05105,"Perry, AR",467283,483416,521257
05107,"Phillips, AR",691051,698999,676929
05109,"Pike, AR",430050,427182,464698
05111,"Poinsett, AR",993349,1051340,1059756
05113,"Polk, AR",780887,780400,855862
05115,"Pope, AR",2684444,2798154,2953522
05117,"Prairie, AR",359158,396412,380620
05119,"Pulaski, AR",24179867,25961494,27177861
05121,"Randolph, AR",768367,778169,824670
05123,"St. Francis, AR",810202,825106,834893
05125,"Saline, AR",6534237,6990268,7361403
05127,"Scott, AR",404058,397137,437664
05129,"Searcy, AR",263942,277641,290407
05131,"Sebastian, AR",6139943,6374991,6704491
05133,"Sevier, AR",714930,682125,755524
05135,"Sharp, AR",781018,780716,840244
05137,"Stone, AR",465368,481624,509590
05139,"Union, AR",1983999,2080237,2139674
05141,"Van Buren, AR",629565,658127,690615
05143,"Washington, AR",12689180,13465487,14574093
05145,"White, AR",3409791,3606315,3811471
05147,"Woodruff, AR",309983,348897,327877
05149,"Yell, AR",913787,895693,974661
06001,"Alameda, CA",163748943,171119975,183486862
06003,"Alpine, CA",81025,88360,96872
06005,"Amador, CA",2000871,2116519,2256906
06007,"Butte, CA",11255350,11828606,12748115
06009,"Calaveras, CA",2611368,2749333,2978686
06011,"Colusa, CA",1264194,1354203,1360993
06013,"Contra Costa, CA",112103932,118755806,126945239
06015,"Del Norte, CA",1202924,1246696,1354335
06017,"El Dorado, CA",15443750,16328505,17268166
06019,"Fresno, CA",51990282,54448091,58972823
06021,"Glenn, CA",1477598,1552265,1650270
06023,"Humboldt, CA",7272378,7526646,8211600
06025,"Imperial, CA",8345166,8712870,9470869
06027,"Inyo, CA",1124081,1257334,1345078
06029,"Kern, CA",41543441,43497072,46717492
06031,"Kings, CA",6613040,6796223,7392211
06033,"Lake, CA",3123439,3282773,3564760
06035,"Lassen, CA",1248927,1261957,1383512
06037,"Los Angeles, CA",728349845,766331882,818509319
06039,"Madera, CA",7371293,7691441,8474319
06041,"Marin, CA",43330639,46196076,48944339
06043,"Mariposa, CA",1047585,1118071,1207938
06045,"Mendocino, CA",4996532,5172576,5567917
06047,"Merced, CA",13543535,13776747,15278285
06049,"Modoc, CA",511854,519789,580383
06051,"Mono, CA",867358,916969,974797
06053,"Monterey, CA",28634611,30339685,32358723
06055,"Napa, CA",11999926,12830374,13673170
06057,"Nevada, CA",7333900,7781463,8210982
06059,"Orange, CA",267134967,282269399,298128817
06061,"Placer, CA",33705721,35628496,38068254
06063,"Plumas, CA",1173684,1248118,1347930
06065,"Riverside, CA",127575613,133563233,142697421
06067,"Sacramento, CA",99000141,104260801,112291560
06069,"San Benito, CA",4226425,4444976,4838868
06071,"San Bernardino, CA",108075879,111575931,119551968
06073,"San Diego, CA",246463680,262611416,278127534
06075,"San Francisco, CA",125186977,132976966,141918003
06077,"San Joaquin, CA",44932867,46871534,51428988
06079,"San Luis Obispo, CA",19494705,20663641,21860772
06081,"San Mateo, CA",118742219,125587893,133465215
06083,"Santa Barbara, CA",34927083,37046666,39270189
06085,"Santa Clara, CA",267278720,283486355,303627499
06087,"Santa Cruz, CA",22022517,23102260,24556016
06089,"Shasta, CA",9872161,10326269,11187620
06091,"Sierra, CA",164011,168028,176519
06093,"Siskiyou, CA",2291157,2365641,2599367
06095,"Solano, CA",27390102,28512267,30830297
06097,"Sonoma, CA",38026852,40300655,43116855
06099,"Stanislaus, CA",28489025,29276612,31603234
06101,"Sutter, CA",5167456,5322023,5700248
06103,"Tehama, CA",3063422,3234326,3441782
06105,"Trinity, CA",572658,603562,659948
06107,"Tulare, CA",22793015,23439844,25675091
06109,"Tuolumne, CA",2890835,3078775,3320024
06111,"Ventura, CA",62171450,64929868,68971501
06113,"Yolo, CA",14242589,14949143,16002676
06115,"Yuba, CA",4131783,4336290,4788160
08001,"Adams, CO*",29919128,31245190,32726484
08003,"Alamosa, CO",733635,768141,776428
08005,"Arapahoe, CO",51210570,53796680,56108745
08007,"Archuleta, CO",779577,819008,882889
08009,"Baca, CO",198697,210230,179886
08011,"Bent, CO",185922,199874,202056
08013,"Boulder, CO*",31367256,33211013,34613970
08014,"Broomfield, CO*",6559108,6905105,7287477
08015,"Chaffee, CO",1276663,1405737,1484326
08017,"Cheyenne, CO",137249,149669,135351
08019,"Clear Creek, CO",701240,740452,772703
08021,"Conejos, CO",345552,359249,361113
08023,"Costilla, CO",146652,155589,159728
08025,"Crowley, CO",135973,146657,152501
08027,"Custer, CO",279554,306661,326567
08029,"Delta, CO",1528277,1609864,1712870
08031,"Denver, CO",82107141,84239010,86944669
08033,"Dolores, CO",98714,102245,104321
08035,"Douglas, CO",36712304,39897379,42238032
08037,"Eagle, CO",6493492,7115696,7481568
08039,"Elbert, CO",2051339,2202238,2328355
08041,"El Paso, CO",45843625,48997589,51891592
08043,"Fremont, CO",2098863,2201031,2300154
08045,"Garfield, CO",4162762,4491923,4722159
08047,"Gilpin, CO",393212,415857,436069
08049,"Grand, CO",1103223,1212184,1313398
08051,"Gunnison, CO",1144445,1227795,1301437
08053,"Hinsdale, CO",49079,55611,55340
08055,"Huerfano, CO",332819,360141,373793
08057,"Jackson, CO",87392,95133,99212
08059,"Jefferson, CO*",47133457,49311378,51314821
08061,"Kiowa, CO",99724,110863,103514
08063,"Kit Carson, CO",361840,391305,372056
08065,"Lake, CO",379713,401006,429028
08067,"La Plata, CO",4069082,4369611,4604423
08069,"Larimer, CO",24964603,26476867,27678876
08071,"Las Animas, CO",659723,678903,688471
08073,"Lincoln, CO",222444,235295,223002
08075,"Logan, CO",1094038,1180890,1196913
08077,"Mesa, CO",8782887,9146500,9663489
08079,"Mineral, CO",66647,72968,75504
08081,"Moffat, CO",652220,691363,711772
08083,"Montezuma, CO",1356452,1415569,1487991
08085,"Montrose, CO",2327284,2404707,2567588
08087,"Morgan, CO",1551378,1595014,1668460
08089,"Otero, CO",781546,812386,848007
08091,"Ouray, CO",427216,450546,475807
08093,"Park, CO",1058136,1142691,1204110
08095,"Phillips, CO",252899,260173,243656
08097,"Pitkin, CO",3930025,4371909,4577562
08099,"Prowers, CO",552671,582897,587680
08101,"Pueblo, CO",7965391,8320373,8746706
08103,"Rio Blanco, CO",390161,414454,430266
08105,"Rio Grande, CO",643515,694460,701410
08107,"Routt, CO",3053885,3288798,3439092
08109,"Saguache, CO",275673,297567,291487
08111,"San Juan, CO",41322,43172,48533
08113,"San Miguel, CO",1165009,1213596,1257165
08115,"Sedgwick, CO",130216,130839,121938
