admin_code,admin_level,region_name_en,region_name_zh,country_iso,macro_region,occupation_category,avg_annual_wage_cny,year,population,parent_admin_code,classification_system,wage_measure,data_availability,source,last_updated
CN-W,0,Western zone,西部地区,CN,Western,Personnel engaged in production and manufacturing,82077,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-W,0,Western zone,西部地区,CN,Western,Total,110376,2024,,CN-NAT,GB_T_2260_MACRO,urban non-private units,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NE,0,Northeastern zone,东北地区,CN,Northeastern,Total,88418,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NE,0,Northeastern zone,东北地区,CN,Northeastern,Middle management and above,164854,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NE,0,Northeastern zone,东北地区,CN,Northeastern,Professional and technical personnel,109414,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NE,0,Northeastern zone,东北地区,CN,Northeastern,Office staff and related personnel,80513,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NE,0,Northeastern zone,东北地区,CN,Northeastern,Personnel engaged in social production services and life services,71606,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NE,0,Northeastern zone,东北地区,CN,Northeastern,Personnel engaged in production and manufacturing,76779,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NE,0,Northeastern zone,东北地区,CN,Northeastern,Total,98889,2024,,CN-NAT,GB_T_2260_MACRO,urban non-private units,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
110000,1,Beijing,北京市,CN,Eastern,Total,224608,2024,,CN-E,GB_T_2260,urban non-private units,province,https://www.163.com/dy/article/KDEUGMIQ0552DMW3.html,2025-11-03
110000,1,Beijing,北京市,CN,Eastern,Total,106905,2024,,CN-E,GB_T_2260,urban private units,province,https://www.163.com/dy/article/KDEUGMIQ0552DMW3.html,2025-11-03
310000,1,Shanghai,上海市,CN,Eastern,Total,239557,2024,,CN-E,GB_T_2260,urban non-private units,province,https://www.163.com/dy/article/KDEUGMIQ0552DMW3.html,2025-11-03
310000,1,Shanghai,上海市,CN,Eastern,Total,113914,2024,,CN-E,GB_T_2260,urban private units,province,https://www.163.com/dy/article/KDEUGMIQ0552DMW3.html,2025-11-03
410000,1,Henan,河南省,CN,Central,Total,86199,2024,,CN-C,GB_T_2260,urban non-private units,province,https://www.163.com/dy/article/KDEUGMIQ0552DMW3.html,2025-11-03
410000,1,Henan,河南省,CN,Central,Total,50625,2024,,CN-C,GB_T_2260,urban private units,province,https://www.163.com/dy/article/KDEUGMIQ0552DMW3.html,2025-11-03
230000,1,Heilongjiang,黑龙江省,CN,Northeastern,Total,99007,2024,,CN-NE,GB_T_2260,urban non-private units,province,https://tjj.hlj.gov.cn/tjj/c106736/202506/c00_31850581.shtml,2025-06-19
230000,1,Heilongjiang,黑龙江省,CN,Northeastern,Total,48621,2024,,CN-NE,GB_T_2260,urban private units,province,https://www.163.com/dy/article/KDEUGMIQ0552DMW3.html,2025-11-03
