admin_code,admin_level,region_name_en,region_name_ja,country_iso,region_block,occupation_category,occupation_code,occupation_level,wage_value,wage_unit,currency,wage_measure,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
JP-NAT,0,National,全国,JP,,Total,,total,330.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,,,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Total,,total,403.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Professional and engineering workers,B,major,370.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Construction and mining workers,J,major,461.2,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247950&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Registered nurses,,detailed,329.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_DETAILED,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247952&fileKind=4,2025-03-17
01100,2,Sapporo (municipality),札幌市,JP,Hokkaido,Total,,total,,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,01,,not_available,,
