admin_code,admin_level,region_name_en,region_name_ru,country_iso,federal_district,occupation_category,occupation_code,wage_value,currency,wage_period,wage_measure,survey_type,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
24,1,Ivanovo Oblast,Ивановская область,RU,Central,Total,,41928.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
24,1,Ivanovo Oblast,Ивановская область,RU,Central,Total,,49722.5,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
24,1,Ivanovo Oblast,Ивановская область,RU,Central,Total,,58173.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
29,1,Kaluga Oblast,Калужская область,RU,Central,Total,,61587.9,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
29,1,Kaluga Oblast,Калужская область,RU,Central,Total,,74196.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
29,1,Kaluga Oblast,Калужская область,RU,Central,Total,,86134.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
34,1,Kostroma Oblast,Костромская область,RU,Central,Total,,46730.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
34,1,Kostroma Oblast,Костромская область,RU,Central,Total,,56897.5,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
34,1,Kostroma Oblast,Костромская область,RU,Central,Total,,64837.3,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
38,1,Kursk Oblast,Курская область,RU,Central,Total,,53623.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
38,1,Kursk Oblast,Курская область,RU,Central,Total,,65127.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
38,1,Kursk Oblast,Курская область,RU,Central,Total,,75782.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
42,1,Lipetsk Oblast,Липецкая область,RU,Central,Total,,54044.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
42,1,Lipetsk Oblast,Липецкая область,RU,Central,Total,,67750.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
42,1,Lipetsk Oblast,Липецкая область,RU,Central,Total,,77052.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
46,1,Moscow Oblast,Московская область,RU,Central,Total,,83195.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
46,1,Moscow Oblast,Московская область,RU,Central,Total,,99204.9,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
46,1,Moscow Oblast,Московская область,RU,Central,Total,,117139.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
54,1,Oryol Oblast,Орловская область,RU,Central,Total,,47381.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
54,1,Oryol Oblast,Орловская область,RU,Central,Total,,56133.5,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
54,1,Oryol Oblast,Орловская область,RU,Central,Total,,64142.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
61,1,Ryazan Oblast,Рязанская область,RU,Central,Total,,53269.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
61,1,Ryazan Oblast,Рязанская область,RU,Central,Total,,64454.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
61,1,Ryazan Oblast,Рязанская область,RU,Central,Total,,74524.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
66,1,Smolensk Oblast,Смоленская область,RU,Central,Total,,49184.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
66,1,Smolensk Oblast,Смоленская область,RU,Central,Total,,60415.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
66,1,Smolensk Oblast,Смоленская область,RU,Central,Total,,70223.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
68,1,Tambov Oblast,Тамбовская область,RU,Central,Total,,45742.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
68,1,Tambov Oblast,Тамбовская область,RU,Central,Total,,55168,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
68,1,Tambov Oblast,Тамбовская область,RU,Central,Total,,63960.5,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
28,1,Tver Oblast,Тверская область,RU,Central,Total,,53777.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
28,1,Tver Oblast,Тверская область,RU,Central,Total,,64705.9,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
28,1,Tver Oblast,Тверская область,RU,Central,Total,,73966.9,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
70,1,Tula Oblast,Тульская область,RU,Central,Total,,60463.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
70,1,Tula Oblast,Тульская область,RU,Central,Total,,73868,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
70,1,Tula Oblast,Тульская область,RU,Central,Total,,85812.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
78,1,Yaroslavl Oblast,Ярославская область,RU,Central,Total,,55535.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
78,1,Yaroslavl Oblast,Ярославская область,RU,Central,Total,,66006.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
78,1,Yaroslavl Oblast,Ярославская область,RU,Central,Total,,75143.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
45,1,Moscow,г. Москва,RU,Central,Total,,138881.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
45,1,Moscow,г. Москва,RU,Central,Total,,162571.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
45,1,Moscow,г. Москва,RU,Central,Total,,181776.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-FD-Northwestern,0,Northwestern Federal District,Северо-Западный федеральный округ,RU,Northwestern,Total,,81442,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-NAT,OKATO_MACRO,federal_district,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-FD-Northwestern,0,Northwestern Federal District,Северо-Западный федеральный округ,RU,Northwestern,Total,,94802.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-NAT,OKATO_MACRO,federal_district,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-FD-Northwestern,0,Northwestern Federal District,Северо-Западный федеральный округ,RU,Northwestern,Total,,106872.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-NAT,OKATO_MACRO,federal_district,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
86,1,Republic of Karelia,Республика Карелия,RU,Northwestern,Total,,64778.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
86,1,Republic of Karelia,Республика Карелия,RU,Northwestern,Total,,74209.5,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
86,1,Republic of Karelia,Республика Карелия,RU,Northwestern,Total,,82437.9,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
87,1,Komi Republic,Республика Коми,RU,Northwestern,Total,,77601.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
87,1,Komi Republic,Республика Коми,RU,Northwestern,Total,,88854.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
