admin_code,admin_level,region_name_en,region_name_ja,country_iso,region_block,occupation_category,occupation_code,occupation_level,wage_value,wage_unit,currency,wage_measure,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
34,1,Hiroshima,広島県,JP,Chugoku,Total,,total,895.6,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
35,1,Yamaguchi,山口県,JP,Chugoku,Total,,total,328.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
35,1,Yamaguchi,山口県,JP,Chugoku,Total,,total,298.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
35,1,Yamaguchi,山口県,JP,Chugoku,Total,,total,886.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
36,1,Tokushima,徳島県,JP,Shikoku,Total,,total,315.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
36,1,Tokushima,徳島県,JP,Shikoku,Total,,total,293,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
36,1,Tokushima,徳島県,JP,Shikoku,Total,,total,839.7,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
37,1,Kagawa,香川県,JP,Shikoku,Total,,total,327.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
37,1,Kagawa,香川県,JP,Shikoku,Total,,total,297.2,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
37,1,Kagawa,香川県,JP,Shikoku,Total,,total,807.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
38,1,Ehime,愛媛県,JP,Shikoku,Total,,total,306.2,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
38,1,Ehime,愛媛県,JP,Shikoku,Total,,total,281.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
38,1,Ehime,愛媛県,JP,Shikoku,Total,,total,752.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
39,1,Kochi,高知県,JP,Shikoku,Total,,total,293.9,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
39,1,Kochi,高知県,JP,Shikoku,Total,,total,273.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
39,1,Kochi,高知県,JP,Shikoku,Total,,total,678.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Total,,total,338.3,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Total,,total,308,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Total,,total,871.6,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
41,1,Saga,佐賀県,JP,Kyushu,Total,,total,301.2,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
41,1,Saga,佐賀県,JP,Kyushu,Total,,total,276.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
41,1,Saga,佐賀県,JP,Kyushu,Total,,total,727.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
42,1,Nagasaki,長崎県,JP,Kyushu,Total,,total,298.5,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
42,1,Nagasaki,長崎県,JP,Kyushu,Total,,total,278.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
42,1,Nagasaki,長崎県,JP,Kyushu,Total,,total,715.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
43,1,Kumamoto,熊本県,JP,Kyushu,Total,,total,307,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
43,1,Kumamoto,熊本県,JP,Kyushu,Total,,total,283.1,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
43,1,Kumamoto,熊本県,JP,Kyushu,Total,,total,765.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
44,1,Oita,大分県,JP,Kyushu,Total,,total,309.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
44,1,Oita,大分県,JP,Kyushu,Total,,total,285,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
44,1,Oita,大分県,JP,Kyushu,Total,,total,758.6,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
45,1,Miyazaki,宮崎県,JP,Kyushu,Total,,total,281.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
45,1,Miyazaki,宮崎県,JP,Kyushu,Total,,total,259.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
45,1,Miyazaki,宮崎県,JP,Kyushu,Total,,total,653.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
46,1,Kagoshima,鹿児島県,JP,Kyushu,Total,,total,294.5,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
46,1,Kagoshima,鹿児島県,JP,Kyushu,Total,,total,273.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
46,1,Kagoshima,鹿児島県,JP,Kyushu,Total,,total,722.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Total,,total,283.3,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Total,,total,266.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Total,,total,535.4,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Administrative and managerial workers,A,major,579.9,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Administrative and managerial workers,A,major,571.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Administrative and managerial workers,A,major,2213.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Professional and engineering workers,B,major,403.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Professional and engineering workers,B,major,370.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Professional and engineering workers,B,major,1147,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Clerical workers,C,major,346.2,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Clerical workers,C,major,321.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Clerical workers,C,major,999,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Sales workers,D,major,348.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Sales workers,D,major,325.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Sales workers,D,major,940.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Service workers,E,major,274,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Service workers,E,major,254.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Service workers,E,major,432.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Security workers,F,major,264,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Security workers,F,major,230.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Security workers,F,major,307.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,"Agriculture, forestry, and fishery workers",G,major,261,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,"Agriculture, forestry, and fishery workers",G,major,248.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,"Agriculture, forestry, and fishery workers",G,major,386,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Manufacturing process workers,H,major,314,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Manufacturing process workers,H,major,276,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Manufacturing process workers,H,major,781.6,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Transport and machine operation workers,I,major,354,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Transport and machine operation workers,I,major,293,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Transport and machine operation workers,I,major,502.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Construction and mining workers,J,major,343.3,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Construction and mining workers,J,major,312.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,Construction and mining workers,J,major,720.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,"Carrying, cleaning, packaging, and related workers",K,major,274.9,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,"Carrying, cleaning, packaging, and related workers",K,major,248.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
JP-NAT,0,National,全国,JP,,"Carrying, cleaning, packaging, and related workers",K,major,470.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JSOC_MAJOR,national,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247948&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Administrative and managerial workers,A,major,667.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Administrative and managerial workers,A,major,563.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Administrative and managerial workers,A,major,565.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247950&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Administrative and managerial workers,A,major,524.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Administrative and managerial workers,A,major,439.1,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Professional and engineering workers,B,major,418.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Professional and engineering workers,B,major,361.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Professional and engineering workers,B,major,377.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247950&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Professional and engineering workers,B,major,349.2,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Professional and engineering workers,B,major,309.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Clerical workers,C,major,380.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Clerical workers,C,major,320.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Clerical workers,C,major,327.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247950&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Clerical workers,C,major,286.1,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Clerical workers,C,major,248.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Sales workers,D,major,380.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Sales workers,D,major,337.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Sales workers,D,major,359.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247950&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Sales workers,D,major,316.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Sales workers,D,major,245.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Service workers,E,major,290.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Service workers,E,major,259.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Service workers,E,major,264,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247950&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Service workers,E,major,243.1,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Service workers,E,major,227.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Security workers,F,major,234.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Security workers,F,major,216.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247949&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Security workers,F,major,237,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247950&fileKind=4,2025-03-17
40,1,Fukuoka,福岡県,JP,Kyushu,Security workers,F,major,223.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
47,1,Okinawa,沖縄県,JP,Okinawa,Security workers,F,major,202.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247951&fileKind=4,2025-03-17
