admin_code,admin_level,region_name_en,region_name_ru,country_iso,federal_district,occupation_category,occupation_code,wage_value,currency,wage_period,wage_measure,survey_type,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
RU-NAT,0,Russian Federation,Российская Федерация,RU,,Total,,74854,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,,OKATO_MACRO,national,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-FD-Central,0,Central Federal District,Центральный федеральный округ,RU,Central,,,94239.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-NAT,OKATO_MACRO,federal_district,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
77,1,Moscow,г. Москва,RU,Central,Total,,138881.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-NAT,0,Russian Federation,Российская Федерация,RU,,Managers,1,139544,RUB,monthly,average_monthly_nominal_accrued_wage_october_survey,biennial_occupation_survey_57T,2023,,,OKZ,national,https://rosstat.gov.ru/storage/mediabank/sved_57-t_2023.rar,2026-07-29
77,1,Moscow,г. Москва,RU,Central,Managers,1,257159,RUB,monthly,average_monthly_nominal_accrued_wage_october_survey,biennial_occupation_survey_57T,2023,,RU-FD-Central,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/sved_57-t_2023.rar,2026-07-29
RU-MUN-OREL-CITY,2,Orel (city) - Oryol Oblast,Город Орел,RU,Central,,,61249,RUB,monthly,average_monthly_accrued_wage_excl_small_business,municipal_indicators_БД_ПМО,2024,,54,OKTMO_MUNICIPALITY,municipality,https://57.rosstat.gov.ru/storage/mediabank/ZP_2024.pdf,2026-07-29
