admin_code,occupation_category,occupation_code,wage_value,currency,wage_period,wage_measure,year,classification_system,data_availability,source,last_updated,country_iso
KR-NAT,All occupations,0,4371,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Managers,1,12223,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,national_only,https://laborstat.moel.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_000000000054271&fileSn=0,2024-06-01,KR
KR-NAT,Elementary workers,9,,KRW_thousand,monthly,monthly_wage_total,2024,KSCO_7TH_MAJOR,not_available,,,KR
